plant,strategy,metric,col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean
planta1,decay,ks,Conductividad DAF,numeric,0.3329358536763874,0.15,ks,True,,,,,,
planta1,decay,ks,Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.110098314183178,0.15,ks,False,,,,,,
planta1,decay,ks,Flujo de envío a DAF,numeric,0.1137057298935152,0.15,ks,False,,,,,,
planta1,decay,ks,Nivel Clarificado DAF (Tk 80m3),numeric,0.4089665115808907,0.15,ks,True,,,,,,
planta1,decay,ks,Nivel Ecualizador 1 (Tk 30m3),numeric,0.5987919719127085,0.15,ks,True,,,,,,
planta1,decay,ks,Nivel Ecualizador 2 (Tk 250m3),numeric,0.2602515262151461,0.15,ks,True,,,,,,
planta1,decay,ks,Temperatura DAF,numeric,6.33131786381691e-05,0.15,ks,False,,,,,,
planta1,decay,ks,Turbidez salida DAF,numeric,0.3074803561154781,0.15,ks,True,,,,,,
planta1,decay,ks,pH Clarificado DAF (Tk 80m3),numeric,0.4336511495287912,0.15,ks,True,,,,,,
planta1,decay,ks,pH coagulación entrada DAF,numeric,0.6420336177013221,0.15,ks,True,,,,,,
planta1,decay,ks,pH entrada a Ecualizador 1,numeric,6.330917033336991e-05,0.15,ks,False,,,,,,
planta1,decay,ks,pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.4874050664900338,0.15,ks,True,,,,,,
planta1,decay,ks,pH salida a Parshall 02,numeric,0.2324690559984677,0.15,ks,True,,,,,,
planta1,decay,ks,pH salida y control Ecualizador 1,numeric,0.7779834486662843,0.15,ks,True,,,,,,
planta1,decay,ks,planta1_activa,categorical,0.0026610872656746,0.2,ks,False,,,,,,
planta1,decay,mannwhitney,Conductividad DAF,numeric,0.4082147525676937,0.55,mannwhitney,False,,,,,,
planta1,decay,mannwhitney,Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.5737069431952642,0.55,mannwhitney,True,,,,,,
planta1,decay,mannwhitney,Flujo de envío a DAF,numeric,0.5627234752305761,0.55,mannwhitney,True,,,,,,
planta1,decay,mannwhitney,Nivel Clarificado DAF (Tk 80m3),numeric,0.6206748270691625,0.55,mannwhitney,True,,,,,,
planta1,decay,mannwhitney,Nivel Ecualizador 1 (Tk 30m3),numeric,0.2309379838299963,0.55,mannwhitney,False,,,,,,
planta1,decay,mannwhitney,Nivel Ecualizador 2 (Tk 250m3),numeric,0.371313043388813,0.55,mannwhitney,False,,,,,,
planta1,decay,mannwhitney,Temperatura DAF,numeric,0.500031656589319,0.55,mannwhitney,False,,,,,,
planta1,decay,mannwhitney,Turbidez salida DAF,numeric,0.6315363932424487,0.55,mannwhitney,True,,,,,,
planta1,decay,mannwhitney,pH Clarificado DAF (Tk 80m3),numeric,0.6779529102470074,0.55,mannwhitney,True,,,,,,
planta1,decay,mannwhitney,pH coagulación entrada DAF,numeric,0.6938361518322194,0.55,mannwhitney,True,,,,,,
planta1,decay,mannwhitney,pH entrada a Ecualizador 1,numeric,0.5000316545851666,0.55,mannwhitney,False,,,,,,
planta1,decay,mannwhitney,pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.2131434219778446,0.55,mannwhitney,False,,,,,,
planta1,decay,mannwhitney,pH salida a Parshall 02,numeric,0.5461745641593136,0.55,mannwhitney,False,,,,,,
planta1,decay,mannwhitney,pH salida y control Ecualizador 1,numeric,0.0620899676826536,0.55,mannwhitney,False,,,,,,
planta1,decay,mannwhitney,planta1_activa,categorical,0.0026610872656746,0.2,mannwhitney,False,,,,,,
planta1,decay,psi,Conductividad DAF,numeric,1.9207146647197768,0.2,psi,True,,,,,,
planta1,decay,psi,Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.0906965545642882,0.2,psi,False,,,,,,
planta1,decay,psi,Flujo de envío a DAF,numeric,0.3108447638889181,0.2,psi,True,,,,,,
planta1,decay,psi,Nivel Clarificado DAF (Tk 80m3),numeric,2.1314393628801263,0.2,psi,True,,,,,,
planta1,decay,psi,Nivel Ecualizador 1 (Tk 30m3),numeric,6.724964984325773,0.2,psi,True,,,,,,
planta1,decay,psi,Nivel Ecualizador 2 (Tk 250m3),numeric,1.4833810967578636,0.2,psi,True,,,,,,
planta1,decay,psi,Temperatura DAF,numeric,0.0,0.2,psi,False,,,,,,
planta1,decay,psi,Turbidez salida DAF,numeric,0.7706190420867185,0.2,psi,True,,,,,,
planta1,decay,psi,pH Clarificado DAF (Tk 80m3),numeric,5.687027789863746,0.2,psi,True,,,,,,
planta1,decay,psi,pH coagulación entrada DAF,numeric,4.4445991187501965,0.2,psi,True,,,,,,
planta1,decay,psi,pH entrada a Ecualizador 1,numeric,0.0,0.2,psi,False,,,,,,
planta1,decay,psi,pH entrada a Ecualizador 2 (Tk 250m3),numeric,1.2713639322609065,0.2,psi,True,,,,,,
planta1,decay,psi,pH salida a Parshall 02,numeric,0.8554272847175635,0.2,psi,True,,,,,,
planta1,decay,psi,pH salida y control Ecualizador 1,numeric,9.59531115382246,0.2,psi,True,,,,,,
planta1,decay,psi,planta1_activa,categorical,0.0026610872656746,0.2,psi,False,,,,,,
planta1,decay,wasserstein,Conductividad DAF,numeric,0.8573461989783205,0.1416693856383525,wasserstein,True,,,,,,
planta1,decay,wasserstein,Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.634690749396784,1.2729463432464327,wasserstein,False,,,,,,
planta1,decay,wasserstein,Flujo de envío a DAF,numeric,0.563773672141942,1.5662016611159917,wasserstein,False,,,,,,
planta1,decay,wasserstein,Nivel Clarificado DAF (Tk 80m3),numeric,8.758333415921232,14.058208975238747,wasserstein,False,,,,,,
planta1,decay,wasserstein,Nivel Ecualizador 1 (Tk 30m3),numeric,7.97433763363872,4.32975522261025,wasserstein,True,,,,,,
planta1,decay,wasserstein,Nivel Ecualizador 2 (Tk 250m3),numeric,6.901106951408518,7.924148813133757,wasserstein,False,,,,,,
planta1,decay,wasserstein,Temperatura DAF,numeric,0.0019943651271011,0.1320994053906383,wasserstein,False,,,,,,
planta1,decay,wasserstein,Turbidez salida DAF,numeric,327.3809797309098,650.9132213045203,wasserstein,False,,,,,,
planta1,decay,wasserstein,pH Clarificado DAF (Tk 80m3),numeric,0.5234200429921217,0.3397019199664194,wasserstein,True,,,,,,
planta1,decay,wasserstein,pH coagulación entrada DAF,numeric,0.7980790525665052,0.6476875949793879,wasserstein,True,,,,,,
planta1,decay,wasserstein,pH entrada a Ecualizador 1,numeric,0.0013294925770007,0.0835440906254936,wasserstein,False,,,,,,
planta1,decay,wasserstein,pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.09550504006027,0.0872383037798202,wasserstein,True,,,,,,
planta1,decay,wasserstein,pH salida a Parshall 02,numeric,1.0766227314979997,0.671202715145907,wasserstein,True,,,,,,
planta1,decay,wasserstein,pH salida y control Ecualizador 1,numeric,0.8477728208211418,0.3388319776815444,wasserstein,True,,,,,,
planta1,decay,wasserstein,planta1_activa,categorical,0.0026610872656746,0.2,wasserstein,False,,,,,,
planta1,golden,ks,Conductividad DAF,numeric,0.5031126351886046,0.15,ks,True,,,,,,
planta1,golden,ks,Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.2626238836341711,0.15,ks,True,,,,,,
planta1,golden,ks,Flujo de envío a DAF,numeric,0.3428364170780419,0.15,ks,True,,,,,,
planta1,golden,ks,Nivel Clarificado DAF (Tk 80m3),numeric,0.69602316262828,0.15,ks,True,,,,,,
planta1,golden,ks,Nivel Ecualizador 1 (Tk 30m3),numeric,0.6904761904761905,0.15,ks,True,,,,,,
planta1,golden,ks,Nivel Ecualizador 2 (Tk 250m3),numeric,1.0,0.15,ks,True,,,,,,
planta1,golden,ks,Turbidez salida DAF,numeric,0.6848092600268807,0.15,ks,True,,,,,,
planta1,golden,ks,pH Clarificado DAF (Tk 80m3),numeric,1.0,0.15,ks,True,,,,,,
planta1,golden,ks,pH coagulación entrada DAF,numeric,0.9453756390448556,0.15,ks,True,,,,,,
planta1,golden,ks,pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.988795518207283,0.15,ks,True,,,,,,
planta1,golden,ks,pH salida a Parshall 02,numeric,0.2780727537651832,0.15,ks,True,,,,,,
planta1,golden,ks,pH salida y control Ecualizador 1,numeric,0.6737668161434978,0.15,ks,True,,,,,,
planta1,golden,ks,planta1_activa,categorical,4.405437658128626,0.2,ks,True,,,,,,
planta1,golden,mannwhitney,Conductividad DAF,numeric,0.6603481302835036,0.55,mannwhitney,True,,,,,,
planta1,golden,mannwhitney,Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.4011364635540315,0.55,mannwhitney,False,,,,,,
planta1,golden,mannwhitney,Flujo de envío a DAF,numeric,0.3877675509665749,0.55,mannwhitney,False,,,,,,
