plant,strategy,metric,ref_rows,cur_rows,n_columns_total,n_columns_drifted,drift_rate_pct,n_numeric,n_categorical
planta1,decay,ks,31666,3580,15,10,66.66666666666667,14,1
planta1,decay,mannwhitney,31666,3580,15,6,40.0,14,1
planta1,decay,psi,31666,3580,15,11,73.33333333333333,14,1
planta1,decay,wasserstein,31666,3580,15,7,46.66666666666666,14,1
planta1,golden,ks,894,3580,13,13,100.0,12,1
planta1,golden,mannwhitney,894,3580,13,6,46.15384615384615,12,1
planta1,golden,psi,894,3580,13,12,92.3076923076923,12,1
planta1,golden,wasserstein,894,3580,13,12,92.3076923076923,12,1
planta1,seasonal,ks,453,3580,13,12,92.3076923076923,12,1
planta1,seasonal,mannwhitney,453,3580,13,6,46.15384615384615,12,1
planta1,seasonal,psi,453,3580,13,12,92.3076923076923,12,1
planta1,seasonal,wasserstein,453,3580,13,11,84.61538461538461,12,1
planta2,decay,ks,36160,3662,11,6,54.54545454545455,11,0
planta2,decay,mannwhitney,36160,3662,11,2,18.181818181818183,11,0
planta2,decay,psi,36160,3662,11,8,72.72727272727273,11,0
planta2,decay,wasserstein,36160,3662,11,3,27.272727272727277,11,0
planta2,golden,ks,477,3662,12,12,100.0,11,1
planta2,golden,mannwhitney,477,3662,12,4,33.333333333333336,11,1
planta2,golden,psi,477,3662,12,10,83.33333333333333,11,1
planta2,golden,wasserstein,477,3662,12,12,100.0,11,1
planta2,seasonal,ks,557,3662,11,7,63.63636363636363,11,0
planta2,seasonal,mannwhitney,557,3662,11,4,36.36363636363637,11,0
planta2,seasonal,psi,557,3662,11,9,81.81818181818181,11,0
planta2,seasonal,wasserstein,557,3662,11,5,45.45454545454545,11,0
planta3,decay,ks,16739,4044,5,3,60.0,3,2
planta3,decay,mannwhitney,16739,4044,5,1,20.0,3,2
planta3,decay,psi,16739,4044,5,3,60.0,3,2
planta3,decay,wasserstein,16739,4044,5,3,60.0,3,2
planta3,golden,ks,490,4044,3,3,100.0,3,0
planta3,golden,mannwhitney,490,4044,3,1,33.333333333333336,3,0
planta3,golden,psi,490,4044,3,3,100.0,3,0
planta3,golden,wasserstein,490,4044,3,2,66.66666666666667,3,0
planta3,seasonal,ks,120,4044,3,3,100.0,3,0
planta3,seasonal,mannwhitney,120,4044,3,1,33.333333333333336,3,0
planta3,seasonal,psi,120,4044,3,3,100.0,3,0
planta3,seasonal,wasserstein,120,4044,3,3,100.0,3,0
