ref_rows,cur_rows,n_columns_total,n_columns_drifted,drift_rate_pct,n_numeric,n_categorical,plant,strategy,metric
36162,3662,11,5,45.45454545454545,10,0,planta2,decay,ks
36162,3662,11,2,18.181818181818183,10,0,planta2,decay,mannwhitney
36162,3662,11,7,63.63636363636363,10,0,planta2,decay,psi
36162,3662,11,3,27.272727272727273,10,0,planta2,decay,wasserstein
810,3662,12,11,91.66666666666667,10,1,planta2,golden,ks
810,3662,12,4,33.333333333333336,10,1,planta2,golden,mannwhitney
810,3662,12,10,83.33333333333333,10,1,planta2,golden,psi
810,3662,12,11,91.66666666666667,10,1,planta2,golden,wasserstein
557,3662,11,7,63.63636363636363,10,0,planta2,seasonal,ks
557,3662,11,4,36.36363636363637,10,0,planta2,seasonal,mannwhitney
557,3662,11,9,81.81818181818181,10,0,planta2,seasonal,psi
557,3662,11,5,45.45454545454545,10,0,planta2,seasonal,wasserstein
