plant,strategy,metric,col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean
planta2,decay,ks,Flujo Afluente PTAR,numeric,0.1338349456511827,0.15,ks,False,,,,,,
planta2,decay,ks,Flujo Aire Reactor 2,numeric,0.7040096947429266,0.15,ks,True,,,,,,
planta2,decay,ks,Flujo Aire Reactor 3,numeric,0.1435545899510538,0.15,ks,False,,,,,,
planta2,decay,ks,Flujo Alimentación Digestor 1,numeric,0.0756956333834437,0.15,ks,False,,,,,,
planta2,decay,ks,Flujo Alimentación Digestor 2,numeric,0.0206579964378129,0.15,ks,False,,,,,,
planta2,decay,ks,Flujo Alimentación Digestor 3,numeric,0.0372045878875725,0.15,ks,False,,,,,,
planta2,decay,ks,Flujo Cámara de contacto 1,numeric,0.1900347696544337,0.15,ks,True,,,,,,
planta2,decay,ks,Flujo Cámara de contacto 2,numeric,0.1877467401350783,0.15,ks,True,,,,,,
planta2,decay,ks,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.7483098026497794,0.15,ks,True,,,,,,
planta2,decay,ks,Nivel Pozo WAS,numeric,0.7946387612898909,0.15,ks,True,,,,,,
planta2,decay,ks,OD Reactor 1,numeric,0.2127914097324086,0.15,ks,True,,,,,,
planta2,decay,mannwhitney,Flujo Afluente PTAR,numeric,0.4573041129175177,0.55,mannwhitney,False,,,,,,
planta2,decay,mannwhitney,Flujo Aire Reactor 2,numeric,0.2134474557421395,0.55,mannwhitney,False,,,,,,
planta2,decay,mannwhitney,Flujo Aire Reactor 3,numeric,0.4882817553173778,0.55,mannwhitney,False,,,,,,
planta2,decay,mannwhitney,Flujo Alimentación Digestor 1,numeric,0.5295857037211371,0.55,mannwhitney,False,,,,,,
planta2,decay,mannwhitney,Flujo Alimentación Digestor 2,numeric,0.4896342037167725,0.55,mannwhitney,False,,,,,,
planta2,decay,mannwhitney,Flujo Alimentación Digestor 3,numeric,0.4962620878585073,0.55,mannwhitney,False,,,,,,
planta2,decay,mannwhitney,Flujo Cámara de contacto 1,numeric,0.5100932710100946,0.55,mannwhitney,False,,,,,,
planta2,decay,mannwhitney,Flujo Cámara de contacto 2,numeric,0.52882825732616,0.55,mannwhitney,False,,,,,,
planta2,decay,mannwhitney,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.8732675119501503,0.55,mannwhitney,True,,,,,,
planta2,decay,mannwhitney,Nivel Pozo WAS,numeric,0.8857511264184015,0.55,mannwhitney,True,,,,,,
planta2,decay,mannwhitney,OD Reactor 1,numeric,0.4026901550862302,0.55,mannwhitney,False,,,,,,
planta2,decay,psi,Flujo Afluente PTAR,numeric,1.8957262398551036,0.2,psi,True,,,,,,
planta2,decay,psi,Flujo Aire Reactor 2,numeric,3.2161160028717006,0.2,psi,True,,,,,,
planta2,decay,psi,Flujo Aire Reactor 3,numeric,0.3113890494033683,0.2,psi,True,,,,,,
planta2,decay,psi,Flujo Alimentación Digestor 1,numeric,0.1391250512312175,0.2,psi,False,,,,,,
planta2,decay,psi,Flujo Alimentación Digestor 2,numeric,7.95189759299054e-05,0.2,psi,False,,,,,,
planta2,decay,psi,Flujo Alimentación Digestor 3,numeric,0.0112542175322069,0.2,psi,False,,,,,,
planta2,decay,psi,Flujo Cámara de contacto 1,numeric,1.7483881624445314,0.2,psi,True,,,,,,
planta2,decay,psi,Flujo Cámara de contacto 2,numeric,1.6684729967322651,0.2,psi,True,,,,,,
planta2,decay,psi,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,9.242441071339416,0.2,psi,True,,,,,,
planta2,decay,psi,Nivel Pozo WAS,numeric,5.860370490053841,0.2,psi,True,,,,,,
planta2,decay,psi,OD Reactor 1,numeric,0.2415853628045547,0.2,psi,True,,,,,,
planta2,decay,wasserstein,Flujo Afluente PTAR,numeric,250.61768367859085,487.1074371647927,wasserstein,False,,,,,,
planta2,decay,wasserstein,Flujo Aire Reactor 2,numeric,546.4028213791415,59.22209096888484,wasserstein,True,,,,,,
planta2,decay,wasserstein,Flujo Aire Reactor 3,numeric,136.19584928800543,1128.0285931614806,wasserstein,False,,,,,,
