col,type,drift_detected,psi,method,threshold,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,ref_std,cur_std,ref_median,cur_median,ref_min,ref_max,cur_min,cur_max,ref_n_distinct,cur_n_distinct,ref_top,ref_top_freq,cur_top,cur_top_freq
Flujo Afluente PTAR,numeric,True,2.4882987993443355,PSI-quantiles,0.2,660,3484,18.51851851851852,4.860731840524304,1934.1540890595406,3225.804585821456,545.0606220885276,740.1192355751891,2208.5,3393.25,788.9,3537.8,1719.199951171875,4430.2998046875,,,,,,
Flujo Aire Reactor 2,numeric,True,2.983735344239709,PSI-quantiles,0.2,463,3226,42.839506172839506,11.90606226105953,38.15939524838013,739.8946321554039,34.22043251282902,604.1210452194447,33.0,645.25,-2.0,242.4,-2.0,2379.0,,,,,,
Flujo Aire Reactor 3,numeric,True,1.4775982287767213,PSI-quantiles,0.2,451,3384,44.32098765432099,7.591480065537957,8076.364745011087,7627.777482269504,539.8277467024823,2260.95759159509,8103.0,8240.5,0.0,8804.5,0.0,9005.0,,,,,,
Flujo Alimentación Digestor 1,numeric,True,1.16654994578379,PSI-quantiles,0.2,538,1559,33.58024691358025,57.42763517203714,2.197427505100139,9.795906966871739,5.398791167578808,6.579354447529174,0.0,14.361000061035156,0.0,16.332,-0.114000003086403,15.083999633789062,,,,,,
Flujo Alimentación Digestor 2,numeric,True,12.704453224515419,PSI-quantiles,0.2,631,525,22.098765432098766,85.66357181867832,9.341413626134042,0.0044047619708414264,4.0903481295240525,0.018698937760942523,11.16,0.003000000026077,0.0,11.835000038146973,-0.19200000166893,0.2040000006090849,,,,,,
Flujo Alimentación Digestor 3,numeric,True,1.742639468612163,PSI-quantiles,0.2,455,3275,43.82716049382716,10.56799563080284,0.2046982401250483,4.957220571843371,1.448062452834917,6.556756085827841,0.07,0.0732000023126602,0.0,16.573699951171875,0.0,16.433399200439453,,,,,,
Flujo Cámara de contacto 1,numeric,True,0.6890707329080155,PSI-quantiles,0.2,468,3479,42.22222222222222,4.997269251774986,1604.1784186730017,1859.4436973373677,154.53342039424967,314.8314897534576,1610.0,1939.5,474.5,2157.0,890.5,2424.0,,,,,,
Flujo Cámara de contacto 2,numeric,True,2.0529562288070036,PSI-quantiles,0.2,468,3481,42.22222222222222,4.9426542872747135,1684.0619660727998,1789.539882932782,151.29248065968687,343.7356762553063,1698.5,1828.0,526.5,2008.0,824.0,2414.0,,,,,,
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,True,inf,PSI-quantiles,0.2,455,3438,43.82716049382716,6.116876024030585,125.37032970051187,120.05116218565414,0.8046321395325651,1.5796647411476836,125.25,120.0,125.25,133.4,78.30000305175781,124.9000015258789,,,,,,
Nivel Pozo WAS,numeric,False,0.0,PSI-quantiles,0.2,455,3447,43.82716049382716,5.871108683779355,3.3190096703078718,2.3151784137535483,0.12350524428073542,0.12906580540743168,3.34,2.322000026702881,1.99,3.34,2.0543999671936035,4.475399971008301,,,,,,
OD Reactor 2,categorical,True,0.9129187279622397,PSI-categorical,0.2,810,3662,0.0,0.0,,,,,,,,,,,2.0,1.0,True,745.0,True,3662.0
