col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric
Energía Total Activa Bombas Elevadoras,numeric,0.9717392603214435,0.15,ks,True,,,,,,,planta3,decay,ks
Nivel pozo,numeric,0.4907155010603029,0.15,ks,True,,,,,,,planta3,decay,ks
Presión pozo,numeric,0.8077313736033936,0.15,ks,True,,,,,,,planta3,decay,ks
Falla Asimetría Pozo,categorical,0.0005667300310506351,0.2,ks,False,,,,,,,planta3,decay,ks
Falla Pozo,categorical,0.0005667300310506351,0.2,ks,False,,,,,,,planta3,decay,ks
Energía Total Activa Bombas Elevadoras,numeric,0.011188289867796474,0.55,mannwhitney,False,,,,,,,planta3,decay,mannwhitney
Nivel pozo,numeric,0.2039145178267592,0.55,mannwhitney,False,,,,,,,planta3,decay,mannwhitney
Presión pozo,numeric,0.9043704705608209,0.55,mannwhitney,True,,,,,,,planta3,decay,mannwhitney
Falla Asimetría Pozo,categorical,0.0005667300310506351,0.2,mannwhitney,False,,,,,,,planta3,decay,mannwhitney
Falla Pozo,categorical,0.0005667300310506351,0.2,mannwhitney,False,,,,,,,planta3,decay,mannwhitney
Energía Total Activa Bombas Elevadoras,numeric,10.32375312074595,0.2,psi,True,,,,,,,planta3,decay,psi
Nivel pozo,numeric,6.024934616667858,0.2,psi,True,,,,,,,planta3,decay,psi
Presión pozo,numeric,11.2451619037309,0.2,psi,True,,,,,,,planta3,decay,psi
Falla Asimetría Pozo,categorical,0.0005667300310506351,0.2,psi,False,,,,,,,planta3,decay,psi
Falla Pozo,categorical,0.0005667300310506351,0.2,psi,False,,,,,,,planta3,decay,psi
Energía Total Activa Bombas Elevadoras,numeric,2.9500989208330157,0.7444320231860616,wasserstein,True,,,,,,,planta3,decay,wasserstein
Nivel pozo,numeric,0.1972203538456434,0.16081046296003842,wasserstein,True,,,,,,,planta3,decay,wasserstein
Presión pozo,numeric,2.7802332102149103,0.6827906395723465,wasserstein,True,,,,,,,planta3,decay,wasserstein
Falla Asimetría Pozo,categorical,0.0005667300310506351,0.2,wasserstein,False,,,,,,,planta3,decay,wasserstein
Falla Pozo,categorical,0.0005667300310506351,0.2,wasserstein,False,,,,,,,planta3,decay,wasserstein
Energía Total Activa Bombas Elevadoras,numeric,1.0,0.15,ks,True,,,,,,,planta3,golden,ks
Nivel pozo,numeric,0.7216666666666667,0.15,ks,True,,,,,,,planta3,golden,ks
Presión pozo,numeric,1.0,0.15,ks,True,,,,,,,planta3,golden,ks
Energía Total Activa Bombas Elevadoras,numeric,0.0,0.55,mannwhitney,False,,,,,,,planta3,golden,mannwhitney
Nivel pozo,numeric,0.19776479558193208,0.55,mannwhitney,False,,,,,,,planta3,golden,mannwhitney
Presión pozo,numeric,1.0,0.55,mannwhitney,True,,,,,,,planta3,golden,mannwhitney
Energía Total Activa Bombas Elevadoras,numeric,inf,0.2,psi,True,,,,,,,planta3,golden,psi
Nivel pozo,numeric,0.0,0.2,psi,False,,,,,,,planta3,golden,psi
Presión pozo,numeric,inf,0.2,psi,True,,,,,,,planta3,golden,psi
Energía Total Activa Bombas Elevadoras,numeric,2.233209693372898,0.07809502135411867,wasserstein,True,,,,,,,planta3,golden,wasserstein
Nivel pozo,numeric,0.10763152818991045,0.15924605773789122,wasserstein,False,,,,,,,planta3,golden,wasserstein
Presión pozo,numeric,3.4771409495548964,0.0807290160593894,wasserstein,True,,,,,,,planta3,golden,wasserstein
Energía Total Activa Bombas Elevadoras,numeric,1.0,0.15,ks,True,,,,,,,planta3,seasonal,ks
Nivel pozo,numeric,0.6362512363996043,0.15,ks,True,,,,,,,planta3,seasonal,ks
Presión pozo,numeric,1.0,0.15,ks,True,,,,,,,planta3,seasonal,ks
Energía Total Activa Bombas Elevadoras,numeric,0.0,0.55,mannwhitney,False,,,,,,,planta3,seasonal,mannwhitney
Nivel pozo,numeric,0.10960682492581603,0.55,mannwhitney,False,,,,,,,planta3,seasonal,mannwhitney
Presión pozo,numeric,1.0,0.55,mannwhitney,True,,,,,,,planta3,seasonal,mannwhitney
Energía Total Activa Bombas Elevadoras,numeric,inf,0.2,psi,True,,,,,,,planta3,seasonal,psi
Nivel pozo,numeric,0.39886625103068374,0.2,psi,True,,,,,,,planta3,seasonal,psi
Presión pozo,numeric,inf,0.2,psi,True,,,,,,,planta3,seasonal,psi
Energía Total Activa Bombas Elevadoras,numeric,3.708209693372898,0.7531446678801507,wasserstein,True,,,,,,,planta3,seasonal,wasserstein
Nivel pozo,numeric,0.26607319485657743,0.017573375583870034,wasserstein,True,,,,,,,planta3,seasonal,wasserstein
Presión pozo,numeric,3.39597428288823,0.01650481637539274,wasserstein,True,,,,,,,planta3,seasonal,wasserstein
