col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric_name
Conductividad DAF,numeric,0.6851446747283324,0.55,mannwhitney,True,,,,,,,planta1,golden,mannwhitney
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.36715342756966635,0.55,mannwhitney,False,,,,,,,planta1,golden,mannwhitney
Flujo de envío a DAF,numeric,0.23197477597788327,0.55,mannwhitney,False,,,,,,,planta1,golden,mannwhitney
Nivel Clarificado DAF (Tk 80m3),numeric,0.1548064314023725,0.55,mannwhitney,False,,,,,,,planta1,golden,mannwhitney
Nivel Ecualizador 1 (Tk 30m3),numeric,0.8987724903312595,0.55,mannwhitney,True,,,,,,,planta1,golden,mannwhitney
Nivel Ecualizador 2 (Tk 250m3),numeric,8.468635682955032e-06,0.55,mannwhitney,False,,,,,,,planta1,golden,mannwhitney
Turbidez salida DAF,numeric,0.0604136447878828,0.55,mannwhitney,False,,,,,,,planta1,golden,mannwhitney
pH Clarificado DAF (Tk 80m3),numeric,1.0,0.55,mannwhitney,True,,,,,,,planta1,golden,mannwhitney
pH coagulación entrada DAF,numeric,0.9726646936017093,0.55,mannwhitney,True,,,,,,,planta1,golden,mannwhitney
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.004513782819015032,0.55,mannwhitney,False,,,,,,,planta1,golden,mannwhitney
pH salida a Parshall 02,numeric,0.6855472737554387,0.55,mannwhitney,True,,,,,,,planta1,golden,mannwhitney
pH salida y control Ecualizador 1,numeric,0.2965147825757897,0.55,mannwhitney,False,,,,,,,planta1,golden,mannwhitney
planta1_activa,categorical,8.54996236386657,0.2,mannwhitney,True,,,,,,,planta1,golden,mannwhitney
