col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric_name
Conductividad DAF,numeric,2.573798955758163,0.2,psi,True,,,,,,,planta1,seasonal,psi
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.09372276427854266,0.2,psi,False,,,,,,,planta1,seasonal,psi
Flujo de envío a DAF,numeric,1.1235014923864082,0.2,psi,True,,,,,,,planta1,seasonal,psi
Nivel Clarificado DAF (Tk 80m3),numeric,6.720714194207176,0.2,psi,True,,,,,,,planta1,seasonal,psi
Nivel Ecualizador 1 (Tk 30m3),numeric,0.0016810326728321787,0.2,psi,False,,,,,,,planta1,seasonal,psi
Nivel Ecualizador 2 (Tk 250m3),numeric,9.784209809984098,0.2,psi,True,,,,,,,planta1,seasonal,psi
Turbidez salida DAF,numeric,1.1509196401506547,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH Clarificado DAF (Tk 80m3),numeric,12.445212205836283,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH coagulación entrada DAF,numeric,5.9455334101137485,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH entrada a Ecualizador 2 (Tk 250m3),numeric,4.402960409693893,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH salida a Parshall 02,numeric,2.084725929530643,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH salida y control Ecualizador 1,numeric,7.907316049127265,0.2,psi,True,,,,,,,planta1,seasonal,psi
planta1_activa,categorical,8.54996236386657,0.2,psi,True,,,,,,,planta1,seasonal,psi
