col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric_name
Conductividad DAF,numeric,63.67179590235406,83.68933995223277,wasserstein,False,,,,,,,planta1,seasonal,wasserstein
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.5345981446025185,1.1100186352166908,wasserstein,False,,,,,,,planta1,seasonal,wasserstein
Flujo de envío a DAF,numeric,3.4069160298989765,0.037607410246759884,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Nivel Clarificado DAF (Tk 80m3),numeric,28.847136649065256,1.8058476715559657,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Nivel Ecualizador 1 (Tk 30m3),numeric,6.394725311441975,3.644920522789632,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Nivel Ecualizador 2 (Tk 250m3),numeric,35.65523961668547,11.468172790610394,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Turbidez salida DAF,numeric,808.4313467861261,3.378992988012976,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH Clarificado DAF (Tk 80m3),numeric,1.4256035505693156,0.5179226762570808,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH coagulación entrada DAF,numeric,1.1237161558026219,0.09688127295779426,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.20615651281029013,0.05859491918838534,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH salida a Parshall 02,numeric,1.4601608395526098,0.5906658305222114,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH salida y control Ecualizador 1,numeric,1.2564866230907143,0.8533654275853945,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
planta1_activa,categorical,8.54996236386657,0.2,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
