col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric_name
Flujo Afluente PTAR,numeric,1.43803790115374,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Aire Reactor 2,numeric,1.3501999507086813,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Aire Reactor 3,numeric,0.13680608622781543,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 1,numeric,0.17399803556617324,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 2,numeric,0.0011657501712165794,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 3,numeric,0.02309852669964186,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Cámara de contacto 1,numeric,0.5470177109185643,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Cámara de contacto 2,numeric,0.4690695972754127,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,9.727891463127516,0.2,psi,True,,,,,,,planta2,decay,psi
Nivel Pozo WAS,numeric,6.80068790595294,0.2,psi,True,,,,,,,planta2,decay,psi
OD Reactor 1,numeric,0.03387585134315827,0.2,psi,False,,,,,,,planta2,decay,psi
