col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric_name
Flujo Afluente PTAR,numeric,0.3114126652748782,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Aire Reactor 2,numeric,0.6637821096738933,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Aire Reactor 3,numeric,0.10113985393488499,0.15,ks,False,,,,,,,planta2,seasonal,ks
Flujo Alimentación Digestor 1,numeric,0.21612945442228193,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Alimentación Digestor 2,numeric,0.12164344237784822,0.15,ks,False,,,,,,,planta2,seasonal,ks
Flujo Alimentación Digestor 3,numeric,0.13464715270397562,0.15,ks,False,,,,,,,planta2,seasonal,ks
Flujo Cámara de contacto 1,numeric,0.2663207204187576,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Cámara de contacto 2,numeric,0.21439693639131865,0.15,ks,True,,,,,,,planta2,seasonal,ks
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.8185328185328186,0.15,ks,True,,,,,,,planta2,seasonal,ks
Nivel Pozo WAS,numeric,0.7560973945091883,0.15,ks,True,,,,,,,planta2,seasonal,ks
OD Reactor 1,numeric,0.1148989898989899,0.15,ks,False,,,,,,,planta2,seasonal,ks
