plant,strategy,metric,n_cols,n_drifted,drift_rate_pct,score_mean
planta1,decay,evidently_default,0,0,0.0,
planta1,decay,ks,15,10,66.66666666666666,0.28706358162015283
planta1,decay,mannwhitney,15,5,33.33333333333333,0.45650932070973355
planta1,decay,psi,15,12,80.0,1.9273557761125906
planta1,decay,wasserstein,15,8,53.333333333333336,24.331821558622252
planta1,golden,evidently_default,0,0,0.0,
planta1,golden,ks,13,13,100.0,1.3403503296411958
planta1,golden,mannwhitney,13,6,46.15384615384615,1.0698059084655078
planta1,golden,psi,13,12,92.3076923076923,inf
planta1,golden,wasserstein,13,12,92.3076923076923,89.52716529082456
planta1,seasonal,evidently_default,0,0,0.0,
planta1,seasonal,ks,13,12,92.3076923076923,1.1961975985696411
planta1,seasonal,mannwhitney,13,6,46.15384615384615,1.0944782652945868
planta1,seasonal,psi,13,11,84.61538461538461,4.829558327508176
planta1,seasonal,wasserstein,13,11,84.61538461538461,73.92029572968205
planta2,decay,evidently_default,0,0,0.0,
planta2,decay,ks,11,5,45.45454545454545,0.2952189639452988
planta2,decay,mannwhitney,11,2,18.181818181818183,0.5240312651750849
planta2,decay,psi,11,6,54.54545454545454,1.8819862526495328
planta2,decay,wasserstein,11,3,27.27272727272727,123.17449388298787
planta2,golden,evidently_default,0,0,0.0,
planta2,golden,ks,7,7,100.0,0.7814896662424377
planta2,golden,mannwhitney,7,2,28.57142857142857,0.41666755504292846
planta2,golden,psi,7,0,0.0,0.0
planta2,golden,wasserstein,7,7,100.0,257.10617661078027
planta2,seasonal,evidently_default,0,0,0.0,
planta2,seasonal,ks,11,7,63.63636363636363,0.3380910489217123
planta2,seasonal,mannwhitney,11,3,27.27272727272727,0.5309049055463585
planta2,seasonal,psi,11,8,72.72727272727273,2.384640506717779
planta2,seasonal,wasserstein,11,4,36.36363636363637,135.90542819450948
planta3,decay,evidently_default,0,0,0.0,
planta3,decay,ks,5,3,60.0,0.47740664845709074
planta3,decay,mannwhitney,5,1,20.0,0.25413297216730346
planta3,decay,psi,5,3,60.0,5.497254351718271
planta3,decay,wasserstein,5,3,60.0,1.302693380593579
planta3,golden,evidently_default,0,0,0.0,
planta3,golden,ks,5,3,60.0,0.5292746347497562
planta3,golden,mannwhitney,5,1,20.0,0.2521755663194184
planta3,golden,psi,5,3,60.0,inf
planta3,golden,wasserstein,5,3,60.0,1.2480803981344668
planta3,seasonal,evidently_default,0,0,0.0,
planta3,seasonal,ks,5,3,60.0,0.5002854952343009
planta3,seasonal,mannwhitney,5,1,20.0,0.24248812567222547
planta3,seasonal,psi,5,2,40.0,inf
planta3,seasonal,wasserstein,5,3,60.0,1.3807974670992138
