col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric
Conductividad DAF,numeric,0.33293585367638745,0.15,ks,True,,,,,,,planta1,decay,ks
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.110098314183178,0.15,ks,False,,,,,,,planta1,decay,ks
Flujo de envío a DAF,numeric,0.11370572989351524,0.15,ks,False,,,,,,,planta1,decay,ks
Nivel Clarificado DAF (Tk 80m3),numeric,0.4089665115808907,0.15,ks,True,,,,,,,planta1,decay,ks
Nivel Ecualizador 1 (Tk 30m3),numeric,0.5987919719127085,0.15,ks,True,,,,,,,planta1,decay,ks
Nivel Ecualizador 2 (Tk 250m3),numeric,0.2602515262151461,0.15,ks,True,,,,,,,planta1,decay,ks
Temperatura DAF,numeric,6.33131786381691e-05,0.15,ks,False,,,,,,,planta1,decay,ks
Turbidez salida DAF,numeric,0.30748035611547814,0.15,ks,True,,,,,,,planta1,decay,ks
pH Clarificado DAF (Tk 80m3),numeric,0.43365114952879125,0.15,ks,True,,,,,,,planta1,decay,ks
pH coagulación entrada DAF,numeric,0.6420336177013221,0.15,ks,True,,,,,,,planta1,decay,ks
pH entrada a Ecualizador 1,numeric,6.330917033336991e-05,0.15,ks,False,,,,,,,planta1,decay,ks
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.4874050664900338,0.15,ks,True,,,,,,,planta1,decay,ks
pH salida a Parshall 02,numeric,0.23246905599846776,0.15,ks,True,,,,,,,planta1,decay,ks
pH salida y control Ecualizador 1,numeric,0.7779834486662843,0.15,ks,True,,,,,,,planta1,decay,ks
planta1_activa,categorical,0.0026610872656746155,0.2,ks,False,,,,,,,planta1,decay,ks
Conductividad DAF,numeric,0.40821475256769374,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.5737069431952642,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
Flujo de envío a DAF,numeric,0.5627234752305761,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
