plant,strategy,metric,col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean
synthetic_plant,decay,ks,var_1,numeric,0.706046448335299,0.15,ks,True,,,,,,
synthetic_plant,decay,ks,var_10,numeric,0.1256690556109952,0.15,ks,False,,,,,,
synthetic_plant,decay,ks,var_2,numeric,0.317653996189785,0.15,ks,True,,,,,,
synthetic_plant,decay,ks,var_3,numeric,0.6926426562641749,0.15,ks,True,,,,,,
synthetic_plant,decay,ks,var_4,numeric,0.44624875260818286,0.15,ks,True,,,,,,
synthetic_plant,decay,ks,var_5,numeric,0.22573255919441168,0.15,ks,True,,,,,,
synthetic_plant,decay,ks,var_6,numeric,0.7623378390637757,0.15,ks,True,,,,,,
synthetic_plant,decay,ks,var_7,numeric,0.7443980767486166,0.15,ks,True,,,,,,
synthetic_plant,decay,ks,var_8,numeric,0.39685203665063956,0.15,ks,True,,,,,,
synthetic_plant,decay,ks,var_9,numeric,0.12054340923523542,0.15,ks,False,,,,,,
synthetic_plant,decay,mannwhitney,var_1,numeric,0.11285493967159575,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_10,numeric,0.4386963621518643,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_2,numeric,0.33132994647555114,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_3,numeric,0.07928875986573528,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_4,numeric,0.23124376304091446,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_5,numeric,0.3843781184795428,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_6,numeric,0.08185158305361517,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_7,numeric,0.054227524267440805,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_8,numeric,0.2464846230608727,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,mannwhitney,var_9,numeric,0.4754377211285494,0.55,mannwhitney,False,,,,,,
synthetic_plant,decay,psi,var_1,numeric,8.078752821575995,0.2,psi,True,,,,,,
synthetic_plant,decay,psi,var_10,numeric,0.18166303353355043,0.2,psi,False,,,,,,
synthetic_plant,decay,psi,var_2,numeric,0.6963417858960651,0.2,psi,True,,,,,,
synthetic_plant,decay,psi,var_3,numeric,8.222489198317824,0.2,psi,True,,,,,,
synthetic_plant,decay,psi,var_4,numeric,1.0765752741520205,0.2,psi,True,,,,,,
synthetic_plant,decay,psi,var_5,numeric,0.3135041840844019,0.2,psi,True,,,,,,
synthetic_plant,decay,psi,var_6,numeric,9.324939383417952,0.2,psi,True,,,,,,
synthetic_plant,decay,psi,var_7,numeric,7.404772599957529,0.2,psi,True,,,,,,
synthetic_plant,decay,psi,var_8,numeric,2.83434093925395,0.2,psi,True,,,,,,
synthetic_plant,decay,psi,var_9,numeric,1.2516372630126473,0.2,psi,True,,,,,,
synthetic_plant,decay,wasserstein,var_1,numeric,1.599314347075917,0.5612351114869006,wasserstein,True,,,,,,
synthetic_plant,decay,wasserstein,var_10,numeric,0.2325404022642357,0.42600070488347014,wasserstein,False,,,,,,
synthetic_plant,decay,wasserstein,var_2,numeric,0.5524280839166159,0.4571552681225177,wasserstein,True,,,,,,
synthetic_plant,decay,wasserstein,var_3,numeric,2.302475630011642,0.6883291794516799,wasserstein,True,,,,,,
synthetic_plant,decay,wasserstein,var_4,numeric,0.9728210737319808,0.49336346492793626,wasserstein,True,,,,,,
synthetic_plant,decay,wasserstein,var_5,numeric,0.30342153954610396,0.38261160369887903,wasserstein,False,,,,,,
synthetic_plant,decay,wasserstein,var_6,numeric,2.1630928786984933,0.6335223876139378,wasserstein,True,,,,,,
synthetic_plant,decay,wasserstein,var_7,numeric,1.986936707946013,0.42243906942798864,wasserstein,True,,,,,,
synthetic_plant,decay,wasserstein,var_8,numeric,0.8145060474719557,0.42662438975193895,wasserstein,True,,,,,,
synthetic_plant,decay,wasserstein,var_9,numeric,0.2854094648760018,0.6353747871998174,wasserstein,False,,,,,,
synthetic_plant,golden,ks,var_1,numeric,0.7357929237751072,0.15,ks,True,,,,,,
synthetic_plant,golden,ks,var_10,numeric,0.2924447432557358,0.15,ks,True,,,,,,
synthetic_plant,golden,ks,var_2,numeric,0.3311874947474578,0.15,ks,True,,,,,,
synthetic_plant,golden,ks,var_3,numeric,0.7497100596688797,0.15,ks,True,,,,,,
synthetic_plant,golden,ks,var_4,numeric,0.4883771745524834,0.15,ks,True,,,,,,
synthetic_plant,golden,ks,var_5,numeric,0.2235650054626439,0.15,ks,True,,,,,,
