plant,strategy,metric,ref_rows,cur_rows,n_columns_total,n_columns_drifted,drift_rate_pct,n_numeric,n_categorical
synthetic_plant,decay,ks,604,73,10,8,80.0,10,0
synthetic_plant,decay,mannwhitney,604,73,10,0,0.0,10,0
synthetic_plant,decay,psi,604,73,10,9,90.0,10,0
synthetic_plant,decay,wasserstein,604,73,10,7,70.0,10,0
synthetic_plant,golden,ks,815,73,10,10,100.0,10,0
synthetic_plant,golden,mannwhitney,815,73,10,0,0.0,10,0
synthetic_plant,golden,psi,815,73,10,10,100.0,10,0
synthetic_plant,golden,wasserstein,815,73,10,9,90.0,10,0
synthetic_plant,seasonal,ks,5,73,10,10,100.0,10,0
synthetic_plant,seasonal,mannwhitney,5,73,10,0,0.0,10,0
synthetic_plant,seasonal,psi,5,73,10,10,100.0,10,0
synthetic_plant,seasonal,wasserstein,5,73,10,10,100.0,10,0
