date_time,variable,event
2025-01-02 22:00:00,var_1,start
2025-01-03 05:00:00,var_1,end
2025-01-08 09:00:00,var_1,start
2025-01-09 22:00:00,var_1,end
2025-01-20 04:00:00,var_1,start
2025-01-22 20:00:00,var_1,end
2025-01-25 10:00:00,var_1,start
2025-01-25 15:00:00,var_1,end
2025-01-28 23:00:00,var_1,start
2025-02-06 22:00:00,var_1,end
2025-01-02 06:00:00,var_10,start
2025-01-07 17:00:00,var_10,end
2025-01-07 21:00:00,var_10,start
2025-02-06 23:00:00,var_10,end
2025-01-31 11:00:00,var_2,start
2025-02-02 03:00:00,var_2,end
2025-01-06 20:00:00,var_3,start
2025-01-10 13:00:00,var_3,end
2025-01-23 16:00:00,var_3,start
2025-02-06 23:00:00,var_3,end
2025-01-29 13:00:00,var_4,start
2025-02-06 23:00:00,var_4,end
2025-01-01 20:00:00,var_5,start
2025-01-02 16:00:00,var_5,end
2025-02-01 16:00:00,var_5,start
2025-02-05 08:00:00,var_5,end
2025-01-04 23:00:00,var_6,start
2025-01-10 06:00:00,var_6,end
2025-01-27 23:00:00,var_6,start
2025-02-06 23:00:00,var_6,end
2025-02-02 06:00:00,var_7,start
2025-02-06 23:00:00,var_7,end
2025-01-19 06:00:00,var_8,start
2025-01-21 11:00:00,var_8,end
2025-01-09 18:00:00,var_9,start
2025-01-12 13:00:00,var_9,end
2025-01-13 08:00:00,var_9,start
2025-01-18 04:00:00,var_9,end
2025-01-30 18:00:00,var_9,start
2025-02-06 23:00:00,var_9,end
