window,strategy,metric,variable,episode_id,seg_start,seg_end,seg_length,stat_max,n_windows,matched_manual,auto_len_sec
12H,decay,ks,var_1,1,2025-01-13 12:00:00,2025-01-20 12:00:00,7 days 00:00:00,0.905897258081724,14,True,604800.0
12H,decay,ks,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,0.9067842034404012,28,True,1209600.0
12H,decay,ks,var_2,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,0.9385013864203462,9,True,388800.0
12H,decay,ks,var_3,1,2025-01-15 00:00:00,2025-01-20 12:00:00,5 days 12:00:00,0.8807327148692288,11,True,475200.0
12H,decay,ks,var_4,1,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,0.9744011078045021,19,True,820800.0
12H,decay,ks,var_5,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,0.9509816234609713,10,True,432000.0
12H,decay,ks,var_6,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,0.8750898382869483,18,True,777600.0
12H,decay,ks,var_7,1,2025-01-02 12:00:00,2025-01-07 00:00:00,4 days 12:00:00,0.6241723828342748,9,True,388800.0
12H,decay,ks,var_7,2,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,0.9446459001592162,15,True,648000.0
12H,decay,ks,var_8,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,0.9482619013419119,10,True,432000.0
12H,decay,ks,var_9,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,0.8359137956604022,18,True,777600.0
12H,decay,psi,var_1,1,2025-01-13 12:00:00,2025-01-20 12:00:00,7 days 00:00:00,11.622223513661172,14,True,604800.0
12H,decay,psi,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,11.699318011564497,28,True,1209600.0
12H,decay,psi,var_2,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,11.621915488500088,9,True,388800.0
12H,decay,psi,var_3,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,11.317472925505038,10,True,432000.0
12H,decay,psi,var_4,1,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,12.433724912775775,19,True,820800.0
12H,decay,psi,var_5,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,12.433715434714593,10,True,432000.0
12H,decay,psi,var_6,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,10.400142712658985,18,True,777600.0
12H,decay,psi,var_7,1,2025-01-02 12:00:00,2025-01-07 00:00:00,4 days 12:00:00,4.162463500195908,9,True,388800.0
12H,decay,psi,var_7,2,2025-01-07 12:00:00,2025-01-08 12:00:00,1 days 00:00:00,0.3412892258194375,2,False,86400.0
12H,decay,psi,var_7,3,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,12.433034447167433,15,True,648000.0
12H,decay,psi,var_8,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,12.433118297805649,10,True,432000.0
12H,decay,psi,var_9,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,10.156760006462166,18,True,777600.0
12H,decay,wasserstein,var_1,1,2025-01-13 12:00:00,2025-01-20 12:00:00,7 days 00:00:00,2.9236193178780887,14,True,604800.0
12H,decay,wasserstein,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,3.749852826826052,28,True,1209600.0
12H,decay,wasserstein,var_2,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,2.3380582307125324,9,True,388800.0
12H,decay,wasserstein,var_3,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,2.52193799341509,10,True,432000.0
12H,decay,wasserstein,var_4,1,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,6.023475026188118,19,True,820800.0
12H,decay,wasserstein,var_5,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,2.321577408660078,10,True,432000.0
12H,decay,wasserstein,var_6,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,2.4455700349811718,18,True,777600.0
12H,decay,wasserstein,var_7,1,2025-01-02 12:00:00,2025-01-05 12:00:00,3 days 00:00:00,0.9521483431611961,6,True,259200.0
12H,decay,wasserstein,var_7,2,2025-01-06 00:00:00,2025-01-06 12:00:00,0 days 12:00:00,0.4170825474003319,1,False,43200.0
12H,decay,wasserstein,var_7,3,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,2.7546503983710116,15,True,648000.0
12H,decay,wasserstein,var_8,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,4.3951973164974865,10,True,432000.0
12H,decay,wasserstein,var_9,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,2.268642675777735,18,True,777600.0
12H,golden,ks,var_1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.21727346278317153,1,False,43200.0
12H,golden,ks,var_1,2,2025-01-13 12:00:00,2025-01-16 00:00:00,2 days 12:00:00,0.4067625982431808,5,True,216000.0
12H,golden,ks,var_1,3,2025-01-19 00:00:00,2025-01-20 12:00:00,1 days 12:00:00,0.6068978270920018,3,True,129600.0
12H,golden,ks,var_10,1,2025-01-06 12:00:00,2025-01-10 12:00:00,4 days 00:00:00,0.8539678687008784,8,False,345600.0
12H,golden,ks,var_10,2,2025-01-11 12:00:00,2025-01-14 12:00:00,3 days 00:00:00,0.5827831715210356,6,True,259200.0
12H,golden,ks,var_10,3,2025-01-16 12:00:00,2025-01-17 12:00:00,1 days 00:00:00,0.7552542764678687,2,True,86400.0
12H,golden,ks,var_10,4,2025-01-18 00:00:00,2025-01-20 12:00:00,2 days 12:00:00,0.40885575589459083,5,True,216000.0
12H,golden,ks,var_2,1,2025-01-16 00:00:00,2025-01-18 12:00:00,2 days 12:00:00,0.6968978270920019,5,True,216000.0
12H,golden,ks,var_3,1,2025-01-15 00:00:00,2025-01-20 12:00:00,5 days 12:00:00,0.44333448913546003,11,True,475200.0
12H,golden,ks,var_4,1,2025-01-11 00:00:00,2025-01-13 12:00:00,2 days 12:00:00,0.6300150254276468,5,True,216000.0
12H,golden,ks,var_4,2,2025-01-14 00:00:00,2025-01-14 12:00:00,0 days 12:00:00,0.22025196486361534,1,False,43200.0
12H,golden,ks,var_4,3,2025-01-15 00:00:00,2025-01-17 00:00:00,2 days 00:00:00,0.6035124826629681,4,True,172800.0
12H,golden,ks,var_4,4,2025-01-17 12:00:00,2025-01-20 12:00:00,3 days 00:00:00,0.8976329172445677,6,True,259200.0
12H,golden,ks,var_5,1,2025-01-15 12:00:00,2025-01-17 00:00:00,1 days 12:00:00,0.8462286176606565,3,True,129600.0
12H,golden,ks,var_6,1,2025-01-11 12:00:00,2025-01-13 12:00:00,2 days 00:00:00,0.5952138233934351,4,True,172800.0
12H,golden,ks,var_6,2,2025-01-17 12:00:00,2025-01-19 12:00:00,2 days 00:00:00,0.5068030513176144,4,True,172800.0
12H,golden,ks,var_6,3,2025-01-20 00:00:00,2025-01-20 12:00:00,0 days 12:00:00,0.20630721220527046,1,False,43200.0
12H,golden,ks,var_7,1,2025-01-02 12:00:00,2025-01-05 00:00:00,2 days 12:00:00,0.5457269995376791,5,True,216000.0
12H,golden,ks,var_7,2,2025-01-13 12:00:00,2025-01-15 00:00:00,1 days 12:00:00,0.4016504854368932,3,True,129600.0
12H,golden,ks,var_7,3,2025-01-15 12:00:00,2025-01-16 00:00:00,0 days 12:00:00,0.2292024965325936,1,True,43200.0
12H,golden,ks,var_7,4,2025-01-19 12:00:00,2025-01-20 12:00:00,1 days 00:00:00,0.7129415164123902,2,True,86400.0
