window,strategy,metric,variable,episode_id,seg_start,seg_end,seg_length,stat_max
12H,decay,ks,var_1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.17721690958788558
12H,decay,ks,var_1,2,2025-01-13 12:00:00,2025-01-20 12:00:00,7 days 00:00:00,0.905897258081724
12H,decay,ks,var_10,1,2025-01-06 12:00:00,2025-01-20 12:00:00,14 days 00:00:00,0.9067842034404012
12H,decay,ks,var_2,1,2025-01-16 00:00:00,2025-01-20 12:00:00,4 days 12:00:00,0.9385013864203462
12H,decay,ks,var_3,1,2025-01-15 00:00:00,2025-01-20 12:00:00,5 days 12:00:00,0.8807327148692288
12H,decay,ks,var_4,1,2025-01-10 12:00:00,2025-01-20 12:00:00,10 days 00:00:00,0.9744011078045021
12H,decay,ks,var_5,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,0.9509816234609713
12H,decay,ks,var_6,1,2025-01-11 12:00:00,2025-01-20 12:00:00,9 days 00:00:00,0.8750898382869483
12H,decay,ks,var_7,1,2025-01-02 12:00:00,2025-01-07 00:00:00,4 days 12:00:00,0.6241723828342748
12H,decay,ks,var_7,2,2025-01-07 12:00:00,2025-01-09 00:00:00,1 days 12:00:00,0.1762503583543414
12H,decay,ks,var_7,3,2025-01-10 00:00:00,2025-01-10 12:00:00,0 days 12:00:00,0.15630386723596618
12H,decay,ks,var_7,4,2025-01-13 00:00:00,2025-01-20 12:00:00,7 days 12:00:00,0.9446459001592162
12H,decay,ks,var_8,1,2025-01-15 12:00:00,2025-01-20 12:00:00,5 days 00:00:00,0.9482619013419119
12H,decay,ks,var_9,1,2025-01-11 00:00:00,2025-01-20 12:00:00,9 days 12:00:00,0.8359137956604022
12H,decay,mannwhitney,var_1,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.6010434662708551
12H,decay,mannwhitney,var_1,2,2025-01-04 00:00:00,2025-01-04 12:00:00,0 days 12:00:00,0.5656902736482907
12H,decay,mannwhitney,var_1,3,2025-01-09 12:00:00,2025-01-10 00:00:00,0 days 12:00:00,0.5578545843765799
12H,decay,mannwhitney,var_10,1,2025-01-01 12:00:00,2025-01-02 00:00:00,0 days 12:00:00,0.5544565296736989
12H,decay,mannwhitney,var_10,2,2025-01-05 12:00:00,2025-01-06 00:00:00,0 days 12:00:00,0.5621561403100425
12H,decay,mannwhitney,var_2,1,2025-01-15 00:00:00,2025-01-15 12:00:00,0 days 12:00:00,0.5596755021771517
12H,decay,mannwhitney,var_3,1,2025-01-02 00:00:00,2025-01-02 12:00:00,0 days 12:00:00,0.5627084889220811
12H,decay,mannwhitney,var_3,2,2025-01-05 00:00:00,2025-01-05 12:00:00,0 days 12:00:00,0.567151825876861
