variable,strategy,window,metric,t0,t1,drift_flag,episode_id,stat_value,threshold,state
var_1,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.1636356208228843,0.2,NORMAL
var_1,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.1602970080803669,0.15,DRIFT
var_1,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.1548683408451931,0.20148655572184754,NORMAL
var_1,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.5761811166921453,0.55,DRIFT
var_2,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.07484607939115413,0.2,NORMAL
var_2,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.10488097837955886,0.15,NORMAL
var_2,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.06093797801692378,0.240551002890444,NORMAL
var_2,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.4745213656548009,0.55,NORMAL
var_3,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.03794705287971924,0.2,NORMAL
var_3,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.06770037126010046,0.15,NORMAL
var_3,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.06276612946354942,0.2386842015131369,NORMAL
var_3,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.5096636820266434,0.55,NORMAL
var_4,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.2146678974447479,0.2,DRIFT
var_4,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.0741064278954648,0.15,NORMAL
var_4,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.055745647225667716,0.22894516410523227,NORMAL
var_4,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.4934483511683774,0.55,NORMAL
var_5,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.22349062325667723,0.2,DRIFT
var_5,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.1159095872461236,0.15,NORMAL
var_5,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.12322256131090206,0.2351797663713884,NORMAL
var_5,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.5632962073232874,0.55,DRIFT
var_6,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.19654889696673886,0.2,NORMAL
var_6,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.1663936812986824,0.15,DRIFT
var_6,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.15475944480280818,0.23820990083613805,NORMAL
var_6,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.589248016306326,0.55,DRIFT
var_7,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.22807122752598497,0.2,DRIFT
var_7,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.24674237460872098,0.15,DRIFT
var_7,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.2625246167558196,0.2124521332204565,DRIFT
var_7,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.37528208488025044,0.55,NORMAL
var_8,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.287230794862533,0.2,DRIFT
var_8,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.23716968770473904,0.15,DRIFT
var_8,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.27934630886910256,0.23703740656621786,DRIFT
var_8,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.6542003348620514,0.55,DRIFT
var_9,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.18265139798048124,0.2,NORMAL
var_9,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.11210599111887602,0.15,NORMAL
var_9,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.13603530752198467,0.28910514950484706,NORMAL
var_9,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.4486787508189561,0.55,NORMAL
var_10,decay,4H,psi,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.13760372202755405,0.2,NORMAL
var_10,decay,4H,ks,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.13911334352478708,0.15,NORMAL
var_10,decay,4H,wasserstein,2025-01-01 04:00:00,2025-01-01 08:00:00,False,,0.1084170092530227,0.24451282273308467,NORMAL
var_10,decay,4H,mannwhitney,2025-01-01 04:00:00,2025-01-01 08:00:00,True,1.0,0.5667176239353571,0.55,DRIFT
var_1,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.031122696432784477,0.2,NORMAL
var_1,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.043877848147339304,0.15,NORMAL
var_1,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.03993788342780808,0.24079805284769817,NORMAL
var_1,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.5064879522457596,0.55,NORMAL
var_2,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.01996846532044966,0.2,NORMAL
var_2,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.049583242338210674,0.15,NORMAL
var_2,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.044622629802456674,0.22895799627511346,NORMAL
var_2,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.5131942927859067,0.55,NORMAL
var_3,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.23951458699357298,0.2,DRIFT
var_3,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.22749690616582952,0.15,DRIFT
var_3,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.20937807745950035,0.2549882110971258,NORMAL
var_3,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.6182754604353207,0.55,DRIFT
var_4,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.12709686065921963,0.2,NORMAL
var_4,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.11431717259954867,0.15,NORMAL
var_4,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.0816698067985481,0.2369705378597012,NORMAL
var_4,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.4529828201208415,0.55,NORMAL
var_5,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.17955620184406806,0.2,NORMAL
var_5,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.17572978088374464,0.15,DRIFT
var_5,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.16090399399325328,0.23094712245219312,NORMAL
var_5,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.5993848729708088,0.55,DRIFT
var_6,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.05565150201429868,0.2,NORMAL
var_6,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.04603443255441508,0.15,NORMAL
var_6,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.03787820465043583,0.24083826595044164,NORMAL
var_6,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.49090048773385747,0.55,NORMAL
var_7,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.09606969505327817,0.2,NORMAL
var_7,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.08952100167431026,0.15,NORMAL
var_7,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.07604519059429943,0.27027766791057056,NORMAL
var_7,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.5188177913663827,0.55,NORMAL
var_8,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.04453237825719235,0.2,NORMAL
var_8,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.09178678022857975,0.15,NORMAL
var_8,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.06275974252916736,0.25217412868509226,NORMAL
var_8,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.47907112178787215,0.55,NORMAL
var_9,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.2060332983957735,0.2,DRIFT
var_9,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.19595799665137947,0.15,DRIFT
var_9,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.16885770301573355,0.250810360444786,NORMAL
var_9,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.3991774040911407,0.55,NORMAL
var_10,decay,4H,psi,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.22302592912872968,0.2,DRIFT
var_10,decay,4H,ks,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.21982601732547136,0.15,DRIFT
var_10,decay,4H,wasserstein,2025-01-01 08:00:00,2025-01-01 12:00:00,False,,0.20995384108020373,0.24186289488344057,NORMAL
var_10,decay,4H,mannwhitney,2025-01-01 08:00:00,2025-01-01 12:00:00,True,1.0,0.6164191599330275,0.55,DRIFT
var_1,decay,4H,psi,2025-01-01 12:00:00,2025-01-01 16:00:00,False,,0.13097841585235612,0.2,NORMAL
var_1,decay,4H,ks,2025-01-01 12:00:00,2025-01-01 16:00:00,True,2.0,0.15398801290917474,0.15,DRIFT
var_1,decay,4H,wasserstein,2025-01-01 12:00:00,2025-01-01 16:00:00,False,,0.16299098555633995,0.24890031165188495,NORMAL
var_1,decay,4H,mannwhitney,2025-01-01 12:00:00,2025-01-01 16:00:00,True,2.0,0.596909805634418,0.55,DRIFT
