window,strategy,metric,TP_episodes,FP_episodes,FN_episodes,Precision,Recall,F1,manual_total_hours,auto_total_hours,overlap_hours,Precision_time,Recall_time,F1_time,coverage_mean,coverage_median,delay_mean_hours,delay_median_hours,false_alarms_per_day,extra_hours,extra_ratio_auto,drift_group
12H,decay,ks,22,0,1,1.0,0.9565217391304348,0.9777777777777777,790.3666666666667,1932.0,758.7666666666667,0.39273636991028293,0.9600185567879888,0.5574316464840642,0.9351836625641371,1.0,6.878787878787878,6.0,0.0,1173.2333333333333,0.6072636300897171,all
12H,decay,psi,22,1,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,790.3666666666667,1944.0,758.7666666666667,0.39031207133058987,0.9600185567879888,0.5549853104314224,0.9351836625641371,1.0,6.878787878787878,6.0,0.05000173617139484,1185.2333333333333,0.6096879286694101,all
12H,decay,wasserstein,22,1,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,790.3666666666667,1896.0,758.7666666666667,0.40019338959212375,0.9600185567879888,0.5649017880408482,0.9351836625641371,1.0,6.878787878787878,6.0,0.05000173617139484,1137.2333333333333,0.5998066104078762,all
12H,golden,ks,22,4,1,0.8461538461538461,0.9565217391304348,0.8979591836734695,790.3666666666667,1224.0,673.4833333333333,0.5502314814814815,0.85211505208553,0.6686799821283778,0.8621656553706738,0.9810737736577829,8.820454545454545,6.0,0.20000694468557936,550.5166666666667,0.4497685185185185,all
12H,golden,psi,21,3,2,0.875,0.9130434782608695,0.8936170212765957,790.3666666666667,1152.0,616.8666666666667,0.5354745370370371,0.780481632997343,0.6351701532494723,0.7817351930292515,0.9057172829792814,9.903968253968255,6.816666666666666,0.15000520851418453,535.1333333333333,0.464525462962963,all
12H,golden,wasserstein,22,5,1,0.8148148148148148,0.9565217391304348,0.8800000000000001,790.3666666666667,1128.0,649.4833333333333,0.5757830969267139,0.8217493990131163,0.677121162099703,0.8484752089614602,0.9810737736577829,9.365909090909092,6.0,0.2500086808569742,478.51666666666665,0.4242169030732861,all
12H,seasonal,ks,22,23,1,0.4888888888888889,0.9565217391304348,0.6470588235294117,790.3666666666667,2496.0,758.7666666666667,0.30399305555555556,0.9600185567879888,0.4617662869835989,0.9351836625641371,1.0,6.878787878787878,6.0,1.1500399319420813,1737.2333333333333,0.6960069444444444,all
12H,seasonal,psi,22,25,1,0.46808510638297873,0.9565217391304348,0.6285714285714286,790.3666666666667,2436.0,754.6833333333333,0.309804324028462,0.9548521783138627,0.46782242150613185,0.9305340886169335,1.0,7.064393939393939,6.0,1.250043404284871,1681.3166666666666,0.6901956759715381,all
12H,seasonal,wasserstein,22,22,1,0.5,0.9565217391304348,0.6567164179104478,790.3666666666667,2328.0,758.7666666666667,0.3259306987399771,0.9600185567879888,0.48664364891877154,0.9351836625641371,1.0,6.878787878787878,6.0,1.1000381957706866,1569.2333333333333,0.674069301260023,all
24H,decay,ks,22,0,1,1.0,0.9565217391304348,0.9777777777777777,790.3666666666667,1896.0,750.6166666666667,0.3958948663853727,0.9497068870988149,0.5588341129902843,0.9258882582794074,1.0,6.0,6.0,0.0,1145.3833333333334,0.6041051336146273,all
24H,decay,psi,22,1,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,790.3666666666667,1872.0,710.5666666666667,0.37957621082621085,0.8990342035342246,0.5337857294888008,0.895790348678571,1.0,7.820454545454546,6.0,0.05000173617139484,1161.4333333333334,0.6204237891737892,all
24H,decay,wasserstein,22,0,1,1.0,0.9565217391304348,0.9777777777777777,790.3666666666667,1896.0,750.6166666666667,0.3958948663853727,0.9497068870988149,0.5588341129902843,0.9258882582794074,1.0,6.0,6.0,0.0,1145.3833333333334,0.6041051336146273,all
24H,golden,ks,21,0,2,1.0,0.9130434782608695,0.9545454545454545,790.3666666666667,1272.0,683.9166666666666,0.5376703354297694,0.8653156762683987,0.663234794976645,0.8340608293938867,1.0,7.126190476190477,6.0,0.0,588.0833333333334,0.4623296645702306,all
24H,golden,psi,20,1,3,0.9523809523809523,0.8695652173913043,0.909090909090909,790.3666666666667,1224.0,604.3333333333334,0.4937363834422658,0.7646240141706381,0.6000231669176416,0.7241325433511929,0.8113034356150013,9.949166666666667,6.0,0.05000173617139484,619.6666666666666,0.5062636165577342,all
24H,golden,wasserstein,22,0,1,1.0,0.9565217391304348,0.9777777777777777,790.3666666666667,1248.0,669.1166666666667,0.5361511752136752,0.8465901902070769,0.656522379028961,0.85389166130889,1.0,7.7696969696969695,6.0,0.0,578.8833333333333,0.4638488247863248,all
