metric,strategy,window,Precision,Recall,F1,Precision_time,Recall_time,F1_time,coverage_mean,extra_ratio_auto
ks,decay,12H,1.0,0.9565217391304348,0.9777777777777777,0.39273636991028293,0.9600185567879888,0.5574316464840642,0.9351836625641371,0.6072636300897171
ks,golden,12H,0.8461538461538461,0.9565217391304348,0.8979591836734695,0.5502314814814815,0.85211505208553,0.6686799821283778,0.8621656553706738,0.4497685185185185
ks,seasonal,12H,0.4888888888888889,0.9565217391304348,0.6470588235294117,0.30399305555555556,0.9600185567879888,0.4617662869835989,0.9351836625641371,0.6960069444444444
ks,decay,24H,1.0,0.9565217391304348,0.9777777777777777,0.3958948663853727,0.9497068870988149,0.5588341129902843,0.9258882582794074,0.6041051336146273
ks,golden,24H,1.0,0.9130434782608695,0.9545454545454545,0.5376703354297694,0.8653156762683987,0.663234794976645,0.8340608293938867,0.4623296645702306
ks,seasonal,24H,0.6111111111111112,0.9565217391304348,0.7457627118644068,0.28744103773584906,0.9252034920501033,0.43861402965080826,0.897591255377642,0.7125589622641509
ks,decay,36H,1.0,1.0,1.0,0.3704943783068783,0.9450255155834845,0.532301552422468,0.9600946945926069,0.6295056216931217
ks,golden,36H,1.0,0.9130434782608695,0.9545454545454545,0.4870483288166215,0.9095567458141791,0.6343927872806695,0.8555175201814776,0.5129516711833785
ks,seasonal,36H,0.7419354838709677,1.0,0.8518518518518519,0.2766358024691358,0.9450255155834845,0.4279875084757094,0.9600946945926069,0.7233641975308642
ks,decay,48H,0.9473684210526315,0.782608695652174,0.8571428571428571,0.3715376984126984,0.7897389397326136,0.5053365897100295,0.7202897553637654,0.6284623015873015
ks,golden,48H,0.9444444444444444,0.7391304347826086,0.8292682926829269,0.46202876984126984,0.785669098730547,0.5818744045852791,0.6768114944942001,0.5379712301587302
ks,seasonal,48H,0.75,0.782608695652174,0.7659574468085107,0.25007345085470084,0.7897389397326136,0.37986225923258715,0.7202897553637654,0.7499265491452991
ks,decay,6H,0.7096774193548387,0.9565217391304348,0.8148148148148149,0.3749918540241121,0.9707308843996457,0.5409972852593107,0.9388552374817946,0.6250081459758879
ks,golden,6H,0.40384615384615385,0.9130434782608695,0.5599999999999999,0.4983698487219614,0.8058496056682553,0.6158643696314322,0.801125643026159,0.5016301512780386
ks,seasonal,6H,0.2857142857142857,0.9565217391304348,0.44,0.2888765157139322,0.9846484753911686,0.44670002200304215,0.950805913956844,0.7111234842860678
psi,decay,12H,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.39031207133058987,0.9600185567879888,0.5549853104314224,0.9351836625641371,0.6096879286694101
