metric,strategy,window,delay_mean_hours,delay_median_hours
ks,decay,12H,6.878787878787878,6.0
ks,golden,12H,8.820454545454545,6.0
ks,seasonal,12H,6.878787878787878,6.0
ks,decay,24H,6.0,6.0
ks,golden,24H,7.126190476190477,6.0
ks,seasonal,24H,6.880303030303031,6.0
ks,decay,36H,7.362318840579711,6.0
ks,golden,36H,7.98888888888889,6.0
ks,seasonal,36H,7.362318840579711,6.0
ks,decay,48H,6.0,6.0
ks,golden,48H,6.0,6.0
ks,seasonal,48H,6.0,6.0
ks,decay,6H,6.5,6.0
ks,golden,6H,8.10793650793651,6.0
ks,seasonal,6H,6.0,6.0
psi,decay,12H,6.878787878787878,6.0
psi,golden,12H,9.903968253968255,6.816666666666666
psi,seasonal,12H,7.064393939393939,6.0
psi,decay,24H,7.820454545454546,6.0
psi,golden,24H,9.949166666666667,6.0
psi,seasonal,24H,7.7689393939393945,6.0
psi,decay,36H,8.089855072463768,6.0
psi,golden,36H,7.98888888888889,6.0
psi,seasonal,36H,7.424242424242425,6.0
psi,decay,48H,6.0,6.0
psi,golden,48H,7.279166666666667,6.0
psi,seasonal,48H,7.203921568627451,6.0
psi,decay,6H,6.878787878787878,6.0
psi,golden,6H,8.927777777777779,6.0
psi,seasonal,6H,6.53560606060606,6.0
wasserstein,decay,12H,6.878787878787878,6.0
wasserstein,golden,12H,9.365909090909092,6.0
wasserstein,seasonal,12H,6.878787878787878,6.0
wasserstein,decay,24H,6.0,6.0
wasserstein,golden,24H,7.7696969696969695,6.0
wasserstein,seasonal,24H,6.888636363636365,6.0
wasserstein,decay,36H,7.671739130434782,6.0
wasserstein,golden,36H,7.898484848484849,6.0
wasserstein,seasonal,36H,7.362318840579711,6.0
wasserstein,decay,48H,6.0,6.0
wasserstein,golden,48H,6.0,6.0
wasserstein,seasonal,48H,6.0,6.0
wasserstein,decay,6H,6.5,6.0
wasserstein,golden,6H,8.845454545454546,6.083333333333334
wasserstein,seasonal,6H,6.421969696969697,6.0
