metric,strategy,window,false_alarms_per_day
ks,decay,12H,0.0
ks,golden,12H,0.20000694468557936
ks,seasonal,12H,1.1500399319420813
ks,decay,24H,0.0
ks,golden,24H,0.0
ks,seasonal,24H,0.7000243063995277
ks,decay,36H,0.0
ks,golden,36H,0.0
ks,seasonal,36H,0.4000138893711587
ks,decay,48H,0.05000173617139484
ks,golden,48H,0.05000173617139484
ks,seasonal,48H,0.30001041702836906
ks,decay,6H,0.4500156255425536
ks,golden,6H,1.55005382131324
ks,seasonal,6H,2.7500954894267164
psi,decay,12H,0.05000173617139484
psi,golden,12H,0.15000520851418453
psi,seasonal,12H,1.250043404284871
psi,decay,24H,0.05000173617139484
psi,golden,24H,0.05000173617139484
psi,seasonal,24H,0.6500225702281329
psi,decay,36H,0.0
psi,golden,36H,0.0
psi,seasonal,36H,0.35001215319976386
psi,decay,48H,0.05000173617139484
psi,golden,48H,0.05000173617139484
psi,seasonal,48H,0.4000138893711587
psi,decay,6H,0.2500086808569742
psi,golden,6H,1.0000347234278968
psi,seasonal,6H,2.5500885447411368
wasserstein,decay,12H,0.05000173617139484
wasserstein,golden,12H,0.2500086808569742
wasserstein,seasonal,12H,1.1000381957706866
wasserstein,decay,24H,0.0
wasserstein,golden,24H,0.0
wasserstein,seasonal,24H,0.4500156255425536
wasserstein,decay,36H,0.0
wasserstein,golden,36H,0.0
wasserstein,seasonal,36H,0.30001041702836906
wasserstein,decay,48H,0.05000173617139484
wasserstein,golden,48H,0.05000173617139484
wasserstein,seasonal,48H,0.35001215319976386
wasserstein,decay,6H,0.2500086808569742
wasserstein,golden,6H,0.6000208340567381
wasserstein,seasonal,6H,2.1500746553699783
