metric,strategy,window,drift_type,n_manual,TP,Recall,coverage_mean,delay_mean_hours,delay_median_hours
ks,decay,12H,abrupt,7,6,0.8571428571428571,0.8565561748313287,0.0,0.0
ks,golden,12H,abrupt,7,7,1.0,0.927970627329238,0.14047619047619048,0.0
ks,seasonal,12H,abrupt,7,6,0.8571428571428571,0.8565561748313287,0.0,0.0
ks,decay,24H,abrupt,7,6,0.8571428571428571,0.8037547667937811,0.0,0.0
ks,golden,24H,abrupt,7,6,0.8571428571428571,0.7759834309867311,0.0,0.0
ks,seasonal,24H,abrupt,7,6,0.8571428571428571,0.8037547667937811,0.0,0.0
ks,decay,48H,abrupt,7,4,0.5714285714285714,0.5714285714285714,0.0,0.0
ks,golden,48H,abrupt,7,4,0.5714285714285714,0.5714285714285714,0.0,0.0
ks,seasonal,48H,abrupt,7,4,0.5714285714285714,0.5714285714285714,0.0,0.0
ks,decay,4H,abrupt,7,7,1.0,0.9962314471243043,0.3095238095238095,0.0
ks,golden,4H,abrupt,7,7,1.0,0.8848495964827012,1.069047619047619,0.0
ks,seasonal,4H,abrupt,7,7,1.0,1.0,0.0,0.0
ks,decay,6H,abrupt,7,6,0.8571428571428571,0.8571428571428571,0.0,0.0
ks,golden,6H,abrupt,7,7,1.0,0.886692502769726,0.4976190476190476,0.0
ks,seasonal,6H,abrupt,7,6,0.8571428571428571,0.8571428571428571,0.0,0.0
ks,decay,12H,gradual,15,15,1.0,0.9682654587018775,1.3299999999999998,0.0
ks,golden,12H,gradual,15,15,1.0,0.9513405954046414,2.106666666666667,0.0
ks,seasonal,12H,gradual,15,15,1.0,0.9691088655318372,1.6266666666666665,0.0
ks,decay,24H,gradual,15,15,1.0,0.9706831672377134,0.6077777777777779,0.0
ks,golden,24H,gradual,15,15,1.0,0.9706831672377134,0.6077777777777779,0.0
ks,seasonal,24H,gradual,15,15,1.0,0.9706831672377134,0.6077777777777779,0.0
ks,decay,48H,gradual,15,13,0.8666666666666667,0.7792153289462932,0.7012820512820513,0.0
ks,golden,48H,gradual,15,13,0.8666666666666667,0.7792153289462932,0.7012820512820513,0.0
ks,seasonal,48H,gradual,15,13,0.8666666666666667,0.7792153289462932,0.7012820512820513,0.0
ks,decay,4H,gradual,15,15,1.0,0.9779712715691239,0.5299999999999999,0.0
ks,golden,4H,gradual,15,15,1.0,0.9191846821869913,1.2888888888888888,0.0
ks,seasonal,4H,gradual,15,15,1.0,0.9865046576876664,0.24222222222222223,0.0
ks,decay,6H,gradual,15,15,1.0,0.9796770497572709,0.53,0.0
ks,golden,6H,gradual,15,14,0.9333333333333333,0.8969151661364912,0.9511904761904761,0.0
ks,seasonal,6H,gradual,15,15,1.0,0.9848236550542215,0.6077777777777779,0.0
mannwhitney,decay,12H,abrupt,4,0,0.0,0.0,,
mannwhitney,golden,12H,abrupt,5,0,0.0,0.0,,
mannwhitney,seasonal,12H,abrupt,7,0,0.0,0.0,,
mannwhitney,decay,24H,abrupt,2,0,0.0,0.0,,
mannwhitney,golden,24H,abrupt,2,0,0.0,0.0,,
mannwhitney,seasonal,24H,abrupt,7,0,0.0,0.0,,
mannwhitney,golden,48H,abrupt,2,0,0.0,0.0,,
mannwhitney,seasonal,48H,abrupt,5,0,0.0,0.0,,
mannwhitney,decay,4H,abrupt,7,0,0.0,0.0,,
mannwhitney,golden,4H,abrupt,7,1,0.14285714285714285,0.006957328385899815,70.16666666666667,70.16666666666667
mannwhitney,seasonal,4H,abrupt,7,0,0.0,0.0,,
mannwhitney,decay,6H,abrupt,7,0,0.0,0.0,,
mannwhitney,golden,6H,abrupt,7,0,0.0,0.0,,
mannwhitney,seasonal,6H,abrupt,7,0,0.0,0.0,,
mannwhitney,decay,12H,gradual,13,0,0.0,0.0,,
mannwhitney,golden,12H,gradual,12,0,0.0,0.0,,
mannwhitney,seasonal,12H,gradual,15,1,0.06666666666666667,0.007789640173981811,0.0,0.0
mannwhitney,decay,24H,gradual,6,0,0.0,0.0,,
mannwhitney,golden,24H,gradual,10,0,0.0,0.0,,
mannwhitney,seasonal,24H,gradual,15,0,0.0,0.0,,
mannwhitney,golden,48H,gradual,10,0,0.0,0.0,,
mannwhitney,seasonal,48H,gradual,10,0,0.0,0.0,,
mannwhitney,decay,4H,gradual,15,1,0.06666666666666667,0.0008892428163779946,0.0,0.0
mannwhitney,golden,4H,gradual,15,1,0.06666666666666667,0.007789640173981811,0.0,0.0
mannwhitney,seasonal,4H,gradual,15,2,0.13333333333333333,0.008678882990359805,0.0,0.0
mannwhitney,decay,6H,gradual,15,1,0.06666666666666667,0.0021349862258953165,0.0,0.0
mannwhitney,golden,6H,gradual,15,2,0.13333333333333333,0.009924626399877127,0.0,0.0
mannwhitney,seasonal,6H,gradual,15,2,0.13333333333333333,0.009924626399877127,0.0,0.0
psi,decay,12H,abrupt,7,6,0.8571428571428571,0.8565561748313287,0.0,0.0
psi,golden,12H,abrupt,7,6,0.8571428571428571,0.7275738548438765,1.5527777777777778,0.0
psi,seasonal,12H,abrupt,7,6,0.8571428571428571,0.8565561748313287,0.0,0.0
psi,decay,24H,abrupt,7,6,0.8571428571428571,0.8037547667937811,0.0,0.0
psi,golden,24H,abrupt,7,6,0.8571428571428571,0.7759834309867311,0.0,0.0
psi,seasonal,24H,abrupt,7,6,0.8571428571428571,0.8037547667937811,0.0,0.0
psi,decay,48H,abrupt,7,4,0.5714285714285714,0.5714285714285714,0.0,0.0
psi,golden,48H,abrupt,7,3,0.42857142857142855,0.42857142857142855,0.0,0.0
psi,seasonal,48H,abrupt,7,4,0.5714285714285714,0.5714285714285714,0.0,0.0
psi,decay,4H,abrupt,7,6,0.8571428571428571,0.8571428571428571,0.0,0.0
psi,golden,4H,abrupt,7,7,1.0,0.8778922680968014,1.069047619047619,0.0
psi,seasonal,4H,abrupt,7,6,0.8571428571428571,0.8571428571428571,0.0,0.0
psi,decay,6H,abrupt,7,6,0.8571428571428571,0.8571428571428571,0.0,0.0
psi,golden,6H,abrupt,7,6,0.8571428571428571,0.7438353599125831,0.5805555555555556,0.08333333333333333
psi,seasonal,6H,abrupt,7,6,0.8571428571428571,0.8571428571428571,0.0,0.0
psi,decay,12H,gradual,15,15,1.0,0.9587094164960245,2.13,0.0
psi,golden,12H,gradual,15,14,0.9333333333333333,0.8655618443262686,3.1142857142857143,0.0
psi,seasonal,12H,gradual,15,15,1.0,0.9763688031521173,0.21888888888888888,0.0
psi,decay,24H,gradual,15,15,1.0,0.9706831672377134,0.6077777777777779,0.0
psi,golden,24H,gradual,15,13,0.8666666666666667,0.8018849937821151,2.5205128205128204,0.0
psi,seasonal,24H,gradual,15,15,1.0,0.9147553391386847,2.322222222222222,0.0
psi,decay,48H,gradual,15,13,0.8666666666666667,0.7792153289462932,0.7012820512820513,0.0
psi,golden,48H,gradual,15,13,0.8666666666666667,0.7792153289462932,0.7012820512820513,0.0
psi,seasonal,48H,gradual,15,13,0.8666666666666667,0.7864752665665732,0.0,0.0
psi,decay,4H,gradual,15,15,1.0,0.9779712715691239,0.5299999999999999,0.0
psi,golden,4H,gradual,15,15,1.0,0.8960625849906777,2.1166666666666667,0.08333333333333333
psi,seasonal,4H,gradual,15,15,1.0,0.9819003649156356,0.4611111111111111,0.0
psi,decay,6H,gradual,15,15,1.0,0.9748990286543443,0.9299999999999999,0.0
psi,golden,6H,gradual,15,14,0.9333333333333333,0.8724035628378358,1.5178571428571428,0.0
psi,seasonal,6H,gradual,15,15,1.0,0.9687695520703223,0.4266666666666667,0.0
wasserstein,decay,12H,abrupt,7,6,0.8571428571428571,0.8565561748313287,0.0,0.0
wasserstein,golden,12H,abrupt,7,6,0.8571428571428571,0.6959759884245814,4.580555555555556,0.49166666666666664
wasserstein,seasonal,12H,abrupt,7,6,0.8571428571428571,0.8565561748313287,0.0,0.0
wasserstein,decay,24H,abrupt,7,6,0.8571428571428571,0.8037547667937811,0.0,0.0
wasserstein,golden,24H,abrupt,7,6,0.8571428571428571,0.7759834309867311,0.0,0.0
wasserstein,seasonal,24H,abrupt,7,6,0.8571428571428571,0.8037547667937811,0.0,0.0
wasserstein,decay,48H,abrupt,7,4,0.5714285714285714,0.5714285714285714,0.0,0.0
wasserstein,golden,48H,abrupt,7,3,0.42857142857142855,0.42857142857142855,0.0,0.0
wasserstein,seasonal,48H,abrupt,7,4,0.5714285714285714,0.5714285714285714,0.0,0.0
wasserstein,decay,4H,abrupt,7,7,1.0,0.9282590968938896,0.8714285714285713,0.0
wasserstein,golden,4H,abrupt,7,7,1.0,0.8431056261673023,1.069047619047619,0.0
wasserstein,seasonal,4H,abrupt,7,7,1.0,0.9282590968938896,0.8714285714285713,0.0
wasserstein,decay,6H,abrupt,7,6,0.8571428571428571,0.8568529684601113,0.027777777777777776,0.0
wasserstein,golden,6H,abrupt,7,7,1.0,0.8185478284355533,1.3547619047619048,0.0
wasserstein,seasonal,6H,abrupt,7,6,0.8571428571428571,0.8571428571428571,0.0,0.0
wasserstein,decay,12H,gradual,15,15,1.0,0.9587094164960245,2.13,0.0
wasserstein,golden,12H,gradual,15,15,1.0,0.9177402862963301,3.106666666666667,0.0
wasserstein,seasonal,12H,gradual,15,15,1.0,0.9587094164960245,2.13,0.0
wasserstein,decay,24H,gradual,15,15,1.0,0.9706831672377134,0.6077777777777779,0.0
wasserstein,golden,24H,gradual,15,15,1.0,0.8989589360517869,3.203333333333333,0.0
wasserstein,seasonal,24H,gradual,15,15,1.0,0.9437547925820661,1.9111111111111112,0.0
wasserstein,decay,48H,gradual,15,13,0.8666666666666667,0.7792153289462932,0.7012820512820513,0.0
wasserstein,golden,48H,gradual,15,13,0.8666666666666667,0.7792153289462932,0.7012820512820513,0.0
wasserstein,seasonal,48H,gradual,15,13,0.8666666666666667,0.7792153289462932,0.7012820512820513,0.0
wasserstein,decay,4H,gradual,15,15,1.0,0.9522152418022215,1.0944444444444446,0.0
wasserstein,golden,4H,gradual,15,15,1.0,0.8036769853193625,2.868888888888889,0.4166666666666667
wasserstein,seasonal,4H,gradual,15,15,1.0,0.9659454380201263,0.8022222222222222,0.0
wasserstein,decay,6H,gradual,15,15,1.0,0.966634565844427,1.3299999999999998,0.0
wasserstein,golden,6H,gradual,15,14,0.9333333333333333,0.7858150730359988,3.5464285714285713,0.9666666666666667
wasserstein,seasonal,6H,gradual,15,15,1.0,0.9545346766254824,1.2266666666666666,0.0
