metric,strategy,window,Precision,Recall,F1,coverage_mean
ks,decay,12H,0.875,0.9545454545454546,0.9130434782608695,0.9327215956521576
ks,seasonal,12H,0.5,0.9545454545454546,0.65625,0.9332966457634936
ks,golden,12H,0.4782608695652174,1.0,0.6470588235294118,0.9439046964715586
ks,decay,24H,1.0,0.9545454545454546,0.9767441860465117,0.9175695852782805
ks,golden,24H,0.8076923076923077,0.9545454545454546,0.875,0.9087332511578553
ks,seasonal,24H,0.75,0.9545454545454546,0.84,0.9175695852782805
ks,decay,48H,0.9444444444444444,0.7727272727272727,0.85,0.7131013606451999
ks,golden,48H,0.8947368421052632,0.7727272727272727,0.8292682926829269,0.7131013606451999
ks,seasonal,48H,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7131013606451999
ks,decay,4H,0.19298245614035087,1.0,0.3235294117647059,0.9837813274275903
ks,seasonal,4H,0.1746031746031746,1.0,0.29729729729729726,0.9907986302415908
ks,golden,4H,0.11578947368421053,1.0,0.20754716981132076,0.908259882190172
ks,decay,6H,0.3684210526315789,0.9545454545454546,0.5316455696202531,0.9406888975617756
ks,seasonal,6H,0.2916666666666667,0.9545454545454546,0.4468085106382979,0.9441979466278784
ks,golden,6H,0.18421052631578946,0.9545454545454546,0.3088235294117647,0.8936625005197935
mannwhitney,seasonal,12H,0.02857142857142857,0.045454545454545456,0.03508771929824561,0.0053111183004421435
mannwhitney,decay,12H,0.0,0.0,,0.0
mannwhitney,golden,12H,0.0,0.0,,0.0
mannwhitney,decay,24H,0.0,0.0,,0.0
mannwhitney,golden,24H,0.0,0.0,,0.0
mannwhitney,seasonal,24H,0.0,0.0,,0.0
mannwhitney,golden,48H,0.0,0.0,,0.0
mannwhitney,seasonal,48H,0.0,0.0,,0.0
mannwhitney,seasonal,4H,0.016260162601626018,0.09090909090909091,0.027586206896551727,0.005917420220699868
mannwhitney,golden,4H,0.014084507042253521,0.09090909090909091,0.02439024390243903,0.007524813695955721
mannwhitney,decay,4H,0.011363636363636364,0.045454545454545456,0.01818181818181818,0.0006063019202577235
mannwhitney,seasonal,6H,0.02564102564102564,0.09090909090909091,0.04,0.0067667907271889505
mannwhitney,golden,6H,0.023529411764705882,0.09090909090909091,0.037383177570093455,0.0067667907271889505
mannwhitney,decay,6H,0.020833333333333332,0.045454545454545456,0.028571428571428574,0.0014556724267468068
psi,decay,12H,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.9262061123299851
psi,golden,12H,0.6451612903225806,0.9090909090909091,0.7547169811320754,0.8216565749455075
psi,seasonal,12H,0.4883720930232558,0.9545454545454546,0.6461538461538462,0.9382466032318664
psi,decay,24H,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9175695852782805
psi,golden,24H,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.7936435874381292
psi,seasonal,24H,0.65625,0.9545454545454546,0.7777777777777778,0.8794369752107607
psi,decay,48H,0.9444444444444444,0.7727272727272727,0.85,0.7131013606451999
psi,golden,48H,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.6676468151906545
psi,seasonal,48H,0.7391304347826086,0.7727272727272727,0.7555555555555555,0.7180513181135727
psi,decay,4H,0.25301204819277107,0.9545454545454546,0.39999999999999997,0.9395258669789481
psi,seasonal,4H,0.19444444444444445,0.9545454545454546,0.3230769230769231,0.9422047942606606
psi,golden,4H,0.1375,1.0,0.2417582417582418,0.8902811205244444
psi,decay,6H,0.65625,0.9545454545454546,0.7777777777777778,0.9374311559006894
psi,seasonal,6H,0.30434782608695654,0.9545454545454546,0.46153846153846156,0.9332519673206744
psi,golden,6H,0.2777777777777778,0.9090909090909091,0.4255319148936171,0.83149549827071
wasserstein,decay,12H,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9262061123299851
wasserstein,golden,12H,0.8076923076923077,0.9545454545454546,0.875,0.8471789187916827
wasserstein,seasonal,12H,0.4883720930232558,0.9545454545454546,0.6461538461538462,0.9262061123299851
wasserstein,decay,24H,1.0,0.9545454545454546,0.9767441860465117,0.9175695852782805
wasserstein,golden,24H,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8598303662583601
wasserstein,seasonal,24H,0.7,0.9545454545454546,0.8076923076923077,0.8992093298312482
wasserstein,decay,48H,0.9444444444444444,0.7727272727272727,0.85,0.7131013606451999
wasserstein,golden,48H,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.6676468151906545
wasserstein,seasonal,48H,0.7083333333333334,0.7727272727272727,0.7391304347826088,0.7131013606451999
wasserstein,decay,4H,0.5945945945945946,1.0,0.7457627118644068,0.9445928320586614
wasserstein,golden,4H,0.36666666666666664,1.0,0.5365853658536585,0.8162224619527979
wasserstein,seasonal,4H,0.22448979591836735,1.0,0.36666666666666664,0.95395432947996
wasserstein,decay,6H,0.8076923076923077,0.9545454545454546,0.875,0.9317040575857812
wasserstein,golden,6H,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.7962300406631296
wasserstein,seasonal,6H,0.328125,0.9545454545454546,0.48837209302325585,0.9235463704264654
