metric,strategy,window,delay_mean_hours,delay_median_hours
ks,decay,12H,0.95,0.0
ks,golden,12H,1.4810606060606062,0.0
ks,seasonal,12H,1.1619047619047618,0.0
ks,decay,24H,0.43412698412698414,0.0
ks,golden,24H,0.43412698412698414,0.0
ks,seasonal,24H,0.43412698412698414,0.0
ks,decay,48H,0.5362745098039216,0.0
ks,golden,48H,0.5362745098039216,0.0
ks,seasonal,48H,0.5362745098039216,0.0
ks,decay,4H,0.4598484848484849,0.0
ks,golden,4H,1.218939393939394,0.0
ks,seasonal,4H,0.16515151515151516,0.0
ks,decay,6H,0.37857142857142856,0.0
ks,golden,6H,0.8,0.0
ks,seasonal,6H,0.43412698412698414,0.0
mannwhitney,decay,12H,,
mannwhitney,golden,12H,,
mannwhitney,seasonal,12H,0.0,0.0
mannwhitney,decay,24H,,
mannwhitney,golden,24H,,
mannwhitney,seasonal,24H,,
mannwhitney,golden,48H,,
mannwhitney,seasonal,48H,,
mannwhitney,decay,4H,0.0,0.0
mannwhitney,golden,4H,35.083333333333336,35.083333333333336
mannwhitney,seasonal,4H,0.0,0.0
mannwhitney,decay,6H,0.0,0.0
mannwhitney,golden,6H,0.0,0.0
mannwhitney,seasonal,6H,0.0,0.0
psi,decay,12H,1.5214285714285714,0.0
psi,golden,12H,2.6458333333333335,0.0
psi,seasonal,12H,0.15634920634920635,0.0
psi,decay,24H,0.43412698412698414,0.0
psi,golden,24H,1.724561403508772,0.0
psi,seasonal,24H,1.6587301587301588,0.0
psi,decay,48H,0.5362745098039216,0.0
psi,golden,48H,0.5697916666666667,0.0
psi,seasonal,48H,0.0,0.0
psi,decay,4H,0.37857142857142856,0.0
psi,golden,4H,1.7833333333333334,0.041666666666666664
psi,seasonal,4H,0.32936507936507936,0.0
psi,decay,6H,0.6642857142857143,0.0
psi,golden,6H,1.2366666666666668,0.0
psi,seasonal,6H,0.3047619047619048,0.0
wasserstein,decay,12H,1.5214285714285714,0.0
wasserstein,golden,12H,3.527777777777778,0.0
wasserstein,seasonal,12H,1.5214285714285714,0.0
wasserstein,decay,24H,0.43412698412698414,0.0
wasserstein,golden,24H,2.2880952380952384,0.0
wasserstein,seasonal,24H,1.3650793650793651,0.0
wasserstein,decay,48H,0.5362745098039216,0.0
wasserstein,golden,48H,0.5697916666666667,0.0
wasserstein,seasonal,48H,0.5362745098039216,0.0
wasserstein,decay,4H,1.0234848484848484,0.0
wasserstein,golden,4H,2.2962121212121214,0.25
wasserstein,seasonal,4H,0.8242424242424242,0.0
wasserstein,decay,6H,0.957936507936508,0.0
wasserstein,golden,6H,2.815873015873016,0.16666666666666666
wasserstein,seasonal,6H,0.8761904761904761,0.0
