metric,strategy,window,false_alarms_per_day
ks,decay,12H,0.15000520851418453
ks,seasonal,12H,1.0500364595992917
ks,golden,12H,1.2000416681134762
ks,decay,24H,0.0
ks,golden,24H,0.2500086808569742
ks,seasonal,24H,0.35001215319976386
ks,decay,48H,0.05000173617139484
ks,golden,48H,0.10000347234278968
ks,seasonal,48H,0.2500086808569742
ks,decay,4H,4.600159727768325
ks,seasonal,4H,5.200180561825063
ks,golden,4H,8.400291676794334
ks,decay,6H,1.8000625021702144
ks,seasonal,6H,2.5500885447411368
ks,golden,6H,4.65016146393972
mannwhitney,decay,12H,0.7000243063995277
mannwhitney,golden,12H,1.55005382131324
mannwhitney,seasonal,12H,1.7000590298274245
mannwhitney,decay,24H,0.30001041702836906
mannwhitney,golden,24H,0.5500190978853433
mannwhitney,seasonal,24H,0.950032987256502
mannwhitney,golden,48H,0.4000138893711587
mannwhitney,seasonal,48H,0.4500156255425536
mannwhitney,decay,4H,4.350151046911352
mannwhitney,seasonal,4H,6.050210076738776
mannwhitney,golden,4H,7.000243063995278
mannwhitney,decay,6H,2.3500816000555576
mannwhitney,seasonal,6H,3.800131949026008
mannwhitney,golden,6H,4.150144102225772
psi,decay,12H,0.10000347234278968
psi,golden,12H,0.5500190978853433
psi,seasonal,12H,1.1000381957706866
psi,decay,24H,0.05000173617139484
psi,golden,24H,0.10000347234278968
psi,seasonal,24H,0.5500190978853433
psi,decay,48H,0.05000173617139484
psi,golden,48H,0.05000173617139484
psi,seasonal,48H,0.30001041702836906
psi,decay,4H,3.10010764262648
psi,seasonal,4H,4.350151046911352
psi,golden,4H,6.900239591652488
psi,decay,6H,0.5500190978853433
psi,seasonal,6H,2.4000833362269525
psi,golden,6H,2.6000902809125317
wasserstein,decay,12H,0.05000173617139484
wasserstein,golden,12H,0.2500086808569742
wasserstein,seasonal,12H,1.1000381957706866
wasserstein,decay,24H,0.0
wasserstein,golden,24H,0.05000173617139484
wasserstein,seasonal,24H,0.4500156255425536
wasserstein,decay,48H,0.05000173617139484
wasserstein,golden,48H,0.05000173617139484
wasserstein,seasonal,48H,0.35001215319976386
wasserstein,decay,4H,0.7500260425709226
wasserstein,golden,4H,1.900065974513004
wasserstein,seasonal,4H,3.800131949026008
wasserstein,decay,6H,0.2500086808569742
wasserstein,golden,6H,0.6000208340567381
wasserstein,seasonal,6H,2.1500746553699783
