date_time,variable,event,drift_type
2025-01-13 19:55:00,var_1,start,gradual
2025-01-15 10:06:00,var_1,end,gradual
2025-01-19 03:35:00,var_1,start,gradual
2025-01-20 03:23:00,var_1,end,gradual
2025-01-06 10:58:00,var_10,start,abrupt
2025-01-06 11:07:00,var_10,end,abrupt
2025-01-12 04:04:00,var_10,start,gradual
2025-01-14 04:43:00,var_10,end,gradual
2025-01-16 11:01:00,var_10,start,abrupt
2025-01-16 14:14:00,var_10,end,abrupt
2025-01-17 21:00:00,var_10,start,gradual
2025-01-19 13:33:00,var_10,end,gradual
2025-01-16 03:32:00,var_2,start,gradual
2025-01-17 05:27:00,var_2,end,gradual
2025-01-15 16:53:00,var_3,start,gradual
2025-01-20 23:59:00,var_3,end,gradual
2025-01-11 02:23:00,var_4,start,gradual
2025-01-13 04:29:00,var_4,end,gradual
2025-01-15 16:34:00,var_4,start,gradual
2025-01-15 17:03:00,var_4,end,gradual
2025-01-17 13:00:00,var_4,start,gradual
2025-01-17 13:15:00,var_4,end,gradual
2025-01-19 08:33:00,var_4,start,gradual
2025-01-19 09:14:00,var_4,end,gradual
2025-01-15 08:43:00,var_5,start,gradual
2025-01-16 12:49:00,var_5,end,gradual
2025-01-11 04:27:00,var_6,start,gradual
2025-01-13 04:51:00,var_6,end,gradual
2025-01-17 11:11:00,var_6,start,gradual
2025-01-19 06:20:00,var_6,end,gradual
2025-01-02 12:04:00,var_7,start,abrupt
2025-01-02 20:20:00,var_7,end,abrupt
2025-01-13 05:50:00,var_7,start,abrupt
2025-01-16 15:58:00,var_7,end,abrupt
2025-01-19 03:40:00,var_7,start,abrupt
2025-01-20 12:08:00,var_7,end,abrupt
2025-01-15 13:23:00,var_8,start,abrupt
2025-01-15 14:32:00,var_8,end,abrupt
2025-01-20 00:31:00,var_8,start,abrupt
2025-01-20 00:46:00,var_8,end,abrupt
2025-01-10 14:53:00,var_9,start,gradual
2025-01-14 02:36:00,var_9,end,gradual
2025-01-17 13:10:00,var_9,start,gradual
2025-01-19 18:18:00,var_9,end,gradual
