plant,strategy,metric,col,score,pvalue,drifted
planta1,decay,ks,Conductividad DAF,0.3303046788429817,6.35094584124e-313,1
planta1,decay,mannwhitney,Conductividad DAF,0.39859995652370644,3.0575363087344647e-88,1
planta1,decay,psi,Conductividad DAF,1.9169560533708498,,1
planta1,decay,wasserstein,Conductividad DAF,0.7291137710666946,,0
planta1,decay,ks,Flujo Parshall 01 entrada a Ecualizador 1,0.08671583216619982,1.7780712248704307e-21,1
planta1,decay,mannwhitney,Flujo Parshall 01 entrada a Ecualizador 1,0.5573550557375728,1.972703300975255e-29,1
planta1,decay,psi,Flujo Parshall 01 entrada a Ecualizador 1,0.05991240674023202,,0
planta1,decay,wasserstein,Flujo Parshall 01 entrada a Ecualizador 1,0.48380910411166655,,0
planta1,decay,ks,Flujo de envío a DAF,0.10350243389562408,1.973479233211582e-30,1
planta1,decay,mannwhitney,Flujo de envío a DAF,0.5612590010894307,2.328187729989037e-33,1
planta1,decay,psi,Flujo de envío a DAF,0.2012774205377333,,0
planta1,decay,wasserstein,Flujo de envío a DAF,0.6197474083067265,,0
planta1,decay,ks,Nivel Ecualizador 1 (Tk 30m3),0.5527636384663592,0.0,1
planta1,decay,mannwhitney,Nivel Ecualizador 1 (Tk 30m3),0.24507602061344033,0.0,1
planta1,decay,psi,Nivel Ecualizador 1 (Tk 30m3),9.705287506569553,,1
planta1,decay,wasserstein,Nivel Ecualizador 1 (Tk 30m3),7.487390774430013,,0
planta1,decay,ks,Nivel Ecualizador 2 (Tk 250m3),0.2385642940105896,1.94289988745744e-161,1
planta1,decay,mannwhitney,Nivel Ecualizador 2 (Tk 250m3),0.3867846434938006,1.5822816401277408e-109,1
planta1,decay,psi,Nivel Ecualizador 2 (Tk 250m3),0.4939498596728819,,1
planta1,decay,wasserstein,Nivel Ecualizador 2 (Tk 250m3),6.378172935370138,,0
planta1,decay,ks,Temperatura DAF,6.2000124000261e-05,1.0,0
planta1,decay,mannwhitney,Temperatura DAF,0.5000310000620001,0.6380628384375877,0
planta1,decay,psi,Temperatura DAF,0.0,,0
planta1,decay,wasserstein,Temperatura DAF,0.1640625,,0
planta1,decay,ks,pH Clarificado DAF (Tk 80m3),0.33488897496322234,6.4e-322,1
planta1,decay,mannwhitney,pH Clarificado DAF (Tk 80m3),0.629331219794573,2.5301272247161857e-142,1
planta1,decay,psi,pH Clarificado DAF (Tk 80m3),6.468152630218407,,1
planta1,decay,wasserstein,pH Clarificado DAF (Tk 80m3),0.4660094489982607,,0
planta1,decay,ks,pH Ecualizador 2 (Tk 250m3),,,0
planta1,decay,psi,pH Ecualizador 2 (Tk 250m3),,,0
planta1,decay,wasserstein,pH Ecualizador 2 (Tk 250m3),,,0
planta1,decay,ks,pH coagulación entrada DAF,0.5530510856132318,0.0,1
planta1,decay,mannwhitney,pH coagulación entrada DAF,0.656419345050898,3.075041065079958e-207,1
planta1,decay,psi,pH coagulación entrada DAF,5.289674787903865,,1
planta1,decay,wasserstein,pH coagulación entrada DAF,0.7649627440686648,,0
planta1,decay,ks,pH entrada a Ecualizador 2 (Tk 250m3),0.4234053227018909,0.0,1
planta1,decay,mannwhitney,pH entrada a Ecualizador 2 (Tk 250m3),0.2517426343173808,0.0,1
planta1,decay,psi,pH entrada a Ecualizador 2 (Tk 250m3),0.919451583018477,,1
planta1,decay,wasserstein,pH entrada a Ecualizador 2 (Tk 250m3),0.15211313357394118,,0
planta1,decay,ks,pH salida a Parshall 02,0.21633834402301885,1.575623342830717e-132,1
planta1,decay,mannwhitney,pH salida a Parshall 02,0.5527644925488251,3.667402408600903e-25,1
planta1,decay,psi,pH salida a Parshall 02,0.811648489444891,,1
planta1,decay,wasserstein,pH salida a Parshall 02,1.0420373532720202,,0
planta1,decay,ks,Nivel Clarificado DAF (Tk 80m3),0.3508267529185682,0.0,1
